LGA,District_Code,State,area kmsq,lat,long,population,geopode pop,geopode pop 0-4
Warji,NGA109,Bauchi,649.5603349,11.16016123,9.738726317,147499,101051,22451
Zaki,NGA110,Bauchi,1544.567722,12.24114668,10.36487707,239159,259271,60023
Brass,NGA111,Bayelsa,1391.590247,4.447817407,6.291210481,187893,56272,9587
Ekeremor,NGA112,Bayelsa,1859.870651,4.944776274,5.698153105,334902,103111,16877
Kolokuma-Opokuma,NGA113,Bayelsa,363.3342395,5.085573588,6.262406758,94130,48290,7025
Nembe,NGA114,Bayelsa,763.8768222,4.509013399,6.293753228,145111,31775,4718
Ogbia,NGA115,Bayelsa,699.0134775,4.769546533,6.329977308,231225,155788,22898
Sagbama,NGA116,Bayelsa,951.649556,5.128071362,6.217260696,241589,103804,15657
Southern Ijaw,NGA117,Bayelsa,2696.271899,4.665771029,5.927574103,412578,136449,21395
Yenegoa,NGA118,Bayelsa,711.0237054,5.032351933,6.347645379,537902,463090,63758
Ado,NGA119,Benue,1238.188389,6.798235863,7.993717263,255244,97168,14769
Agatu,NGA120,Benue,1034.298496,7.869838452,7.882158375,136982,96981,15506
Apa,NGA121,Benue,1013.459436,7.625723951,7.877569346,132661,156522,24243
Buruku,NGA122,Benue,1267.05353,7.382998009,9.133027327,220180,203300,32001
Gboko,NGA123,Benue,1866.326878,7.365777322,8.852707797,492868,366903,56468
Guma,NGA124,Benue,2938.690663,7.923450822,8.766918922,228948,137666,22038
Gwer East,NGA125,Benue,2334.052908,7.40387007,8.416827462,163391,172722,26730
Gwer West,NGA126,Benue,1114.242004,7.651635977,8.20415881,141795,99593,15760
Katsina-Ala,NGA127,Benue,2441.891144,7.318108874,9.571860546,252185,410375,62628
Konshisha,NGA128,Benue,1699.89982,7.06147982,8.665912775,315657,191264,29218
Kwande,NGA129,Benue,2932.950487,6.842088658,9.473510436,384283,373349,53095
Logo,NGA130,Benue,1433.531468,7.666522984,9.226037857,203018,289116,45756
Makurdi,NGA131,Benue,835.6232654,7.737374745,8.519591783,371775,485495,73553
Obi1,NGA132,Benue,429.19236,7.027357043,8.282649781,121037,89740,13702
Ogbadibo,NGA133,Benue,607.0757982,7.004378169,7.680117494,145680,122674,18372
Ohimini,NGA134,Benue,642.5248091,7.2513028,7.951734937,91554,90222,13723
Oju,NGA135,Benue,1301.754738,6.861946197,8.374898108,235524,122829,18698
Okpokwu,NGA136,Benue,742.5555523,7.048291051,7.861125846,234781,132095,19911
Oturkpo,NGA137,Benue,1290.827687,7.307355591,8.074938867,303328,159942,24239
Tarka,NGA138,Benue,377.6786366,7.626207584,8.828192625,98534,53151,8625
Ukum,NGA139,Benue,1541.564742,7.638934862,9.568649475,280208,338918,52763
Ushongo,NGA140,Benue,1247.527152,7.102512735,9.068627422,165202,123920,19295
Vandeikya,NGA141,Benue,945.0881502,6.868361467,9.050645276,351363,128949,18743
Abadam,NGA142,Borno,4171.182046,13.4281839,13.32518085,131831,134477,32033
Askira-Uba,NGA143,Borno,2431.830849,10.64019782,12.92828834,136697,278862,56046
Bama,NGA144,Borno,5169.135447,11.54840979,14.10126515,376612,248501,54882
Bayo,NGA145,Borno,985.7840248,10.40227054,11.69879379,102939,167600,34956
Biu,NGA146,Borno,3423.86191,10.799472,12.08828859,266476,287728,56064
Chibok,NGA147,Borno,1391.995484,10.8294892,12.77516901,100813,117882,24452
Damboa,NGA148,Borno,6426.183347,11.11976744,12.76256479,264232,189310,39616
Dikwa,NGA149,Borno,1836.891501,11.91506834,14.03101813,164003,101444,22959
Gubio,NGA150,Borno,2575.092208,12.66954401,12.74748889,198963,170333,39395
Guzamala,NGA151,Borno,2631.444713,12.87627776,13.22899822,103052,126534,29846
Gwoza,NGA152,Borno,2973.920277,11.17675702,13.58851391,380252,273759,58669
Hawul,NGA153,Borno,2160.992893,10.45722893,12.27310013,158094,251190,50457
Jere,NGA154,Borno,900.7150064,11.9085166,13.17088312,571881,488746,105352
Kaga,NGA155,Borno,2802.456201,11.63810936,12.46794964,127896,129753,28904
Kala-Balge,NGA156,Borno,1962.024797,12.04059128,14.48065842,129695,66484,14923
Konduga,NGA157,Borno,6065.891677,11.60767878,13.09693596,108475,194813,43360
Kukawa,NGA158,Borno,5111.775652,13.04293874,13.71963339,266422,135390,31358
Kwaya Kusar,NGA159,Borno,754.6912484,10.44245225,11.87861913,82052,131557,27008
Mafa,NGA160,Borno,2976.986756,12.01198183,13.53718916,107068,140614,31594
Magumeri,NGA161,Borno,5057.606527,12.16954331,12.63098393,168716,269666,61767
Maiduguri,NGA162,Borno,137.3559799,11.84621176,13.12600793,497783,651275,133360
Marte,NGA163,Borno,3280.732688,12.40478264,13.84521644,175407,153446,35329
Mobbar,NGA164,Borno,2927.134496,13.06275545,12.68260489,138893,190896,44986
Monguno,NGA165,Borno,1991.571303,12.53702342,13.59856653,178039,185084,42695
Ngala,NGA166,Borno,1520.086638,12.22255267,14.18844473,317875,143998,32648
Nganzai,NGA167,Borno,2572.345376,12.48436672,13.11456762,129449,142246,33154
Shani,NGA168,Borno,1298.932932,10.17779282,11.9771846,149886,227431,45559
Abi,NGA169,Cross River,284.9009845,5.893088471,8.026689098,121781,104592,14490
Akamkpa,NGA170,Cross River,5063.271495,5.410238072,8.535055573,150742,113413,14629
Akpabuyo,NGA171,Cross River,819.7675957,4.892259615,8.495336437,233509,151328,20078
Bakassi,NGA172,Cross River,533.0005327,4.620025757,8.592705524,3609,19350,2635
Bekwara,NGA173,Cross River,310.0030442,6.698030704,8.909722332,131620,207710,30040
Biase,NGA174,Cross River,1323.387788,5.541099283,8.073069557,193907,102383,13513
Boki,NGA175,Cross River,2759.747254,6.270803936,9.000770381,221120,186805,26018
Calabar South,NGA176,Cross River,177.6672598,4.865229734,8.333022352,101983,116199,13499
Calabar-Municipal,NGA177,Cross River,142.7355028,5.008890431,8.361222606,340752,467582,55871
Etung,NGA178,Cross River,829.4339209,5.862036972,8.797414713,99096,56684,7686
Ikom,NGA179,Cross River,1984.363073,6.075756922,8.617010182,201072,208614,27980
Obanliku,NGA180,Cross River,1063.062699,6.521357488,9.304032451,120117,139650,18726
Obubra,NGA181,Cross River,1127.415408,5.98047928,8.375650092,155703,140445,19148
Obudu,NGA182,Cross River,459.4574685,6.555498526,9.061024905,235399,169696,23109
Odukpani,NGA183,Cross River,1365.353683,5.165465594,8.147055271,258818,230405,30606
Ogoja,NGA184,Cross River,985.5978939,6.51059645,8.721004563,212039,181931,25954
Yakurr,NGA185,Cross River,676.8600886,5.802418322,8.183759484,256476,166909,21664
Yala,NGA186,Cross River,1763.588723,6.657116474,8.585030973,252628,213248,32101
Aniocha North,NGA187,Delta,411.0138498,6.3628129,6.481297133,110683,114844,16547
Aniocha South,NGA188,Delta,877.3401639,6.134172167,6.484428628,199508,175087,25698
Bomadi,NGA189,Delta,129.7730894,5.204184621,5.859525401,115379,38357,6150
Burutu,NGA190,Delta,1936.362017,5.233525601,5.589635402,262989,56501,9421
Ethiope East,NGA191,Delta,383.5434317,5.68624904,5.984825658,265519,153657,22312
Ethiope West,NGA192,Delta,541.2719565,5.92015494,5.753091469,228819,216487,30120
Ika North East,NGA193,Delta,467.9346945,6.228738503,6.294941651,241097,138677,20170
Ika South,NGA194,Delta,440.2430909,6.182437224,6.199869461,205186,212925,30204
Isoko North,NGA195,Delta,481.4224744,5.526175417,6.23754724,187430,144636,21171
Isoko South,NGA196,Delta,709.4632397,5.380759945,6.220604075,314047,119513,17537
Ndokwa East,NGA197,Delta,1632.240951,5.68698737,6.511787595,119210,63373,9218
Ndokwa West,NGA198,Delta,823.7085365,5.801389262,6.341287757,188362,172574,25023
Okpe,NGA199,Delta,448.7178428,5.684777092,5.789271199,150559,100036,14606
Oshimili North,NGA200,Delta,515.5056428,6.315189795,6.645232995,181224,238683,34309
Oshimili South,NGA201,Delta,270.5388627,6.093783871,6.677488181,178894,199422,26667
Patani,NGA202,Delta,218.5478711,5.170413593,6.091671322,91183,27708,4143
Sapele,NGA203,Delta,454.0258424,5.83120535,5.654470908,276776,234788,32667
Udu,NGA204,Delta,131.7353511,5.474814724,5.828832053,174901,201057,26733
Ughelli North,NGA205,Delta,824.7376282,5.510720444,6.054090485,388690,316265,44325
Ughelli South,NGA206,Delta,791.4276399,5.343675845,5.901492201,300435,129681,19231
Ukwuani,NGA207,Delta,412.978904,5.844504805,6.249625592,152794,111887,15872
Uvwie,NGA208,Delta,95.896321,5.573081325,5.782784199,235040,221762,27423
Warri North,NGA209,Delta,1904.311412,5.904579338,5.239164857,174771,35239,5482
Warri South,NGA210,Delta,638.1644153,5.628901143,5.610245836,443652,236648,29912
Warri South West,NGA211,Delta,1755.850843,5.581684908,5.407265349,169577,7296,1078
Abakaliki,NGA212,Ebonyi,591.3954224,6.258681099,8.219881874,244410,209238,28055
Afikpo North,NGA213,Ebonyi,242.7952301,5.878428508,7.923396498,262936,179521,25284
Afikpo South,NGA214,Ebonyi,381.738709,5.837191472,7.81363734,203664,97730,13941
Ebonyi,NGA215,Ebonyi,449.4646693,6.504630254,8.118524645,143800,339450,47831
Ezza North,NGA216,Ebonyi,308.3445312,6.264560148,7.973585683,165372,102939,15010
Ezza South,NGA217,Ebonyi,328.177828,6.126274664,8.009424442,163235,111851,16060
Ikwo,NGA218,Ebonyi,583.9581136,6.086469651,8.195228458,300106,355408,51059
Ishielu,NGA219,Ebonyi,883.7664337,6.424296777,7.823701559,215654,137472,20470
Ivo,NGA220,Ebonyi,247.4904418,5.891473654,7.624786458,153820,143252,19969
Izzi,NGA221,Ebonyi,1083.168866,6.511390418,8.273447183,290045,481478,71743
Ohaozara,NGA222,Ebonyi,315.2008967,6.007502011,7.781607705,214198,196657,28428
Ohaukwu,NGA223,Ebonyi,523.8791026,6.532530988,8.017665611,241829,235793,36057
Onicha,NGA224,Ebonyi,481.851248,6.114034077,7.850737799,275550,176815,25806
Akoko-Edo,NGA225,Edo,1392.129483,7.362892731,6.134195598,406548,126501,17487
Egor,NGA226,Edo,93.83584595,6.356630604,5.582083296,507665,544447,62940
Esan Central,NGA227,Edo,255.7440276,6.724623495,6.250612714,140294,109762,15376
Esan North East,NGA228,Edo,342.8420636,6.774167643,6.394668943,156010,178535,25829
Esan South East,NGA229,Edo,1322.783363,6.588161149,6.471848798,194354,76093,10940
Esan West,NGA230,Edo,508.3807591,6.668245832,6.13641444,175972,157814,21455
Etsako Central,NGA231,Edo,669.4920725,6.976373572,6.51849196,114827,79930,11632
Etsako East,NGA232,Edo,1150.140283,7.198296686,6.506298847,187785,121540,17175
Etsako West,NGA233,Edo,958.9177815,6.993182629,6.312870836,233248,223402,29705
Igueben,NGA234,Edo,384.5968304,6.514685589,6.241460008,95506,53670,7705
Ikpoba-Okha,NGA235,Edo,870.7093561,6.171039124,5.651045249,380591,829840,96514
Oredo,NGA236,Edo,251.6234688,6.225493621,5.552598094,502323,496299,56851
Orhionmwon,NGA237,Edo,2405.147891,6.062464372,6.003246011,212093,141483,20459
Ovia North East,NGA238,Edo,2325.512192,6.487552046,5.535405945,244618,238467,30512
Ovia South West,NGA239,Edo,2832.090794,6.486732221,5.272330141,153917,113007,15794
Owan East,NGA240,Edo,1257.680506,7.045017691,6.057852872,187760,97475,13276
Owan West,NGA241,Edo,741.1991452,6.921358697,5.898428793,116910,72218,9664
Uhunmwonde,NGA242,Edo,2056.44938,6.503270055,5.910776377,88245,365754,45701
Ado Ekiti,NGA243,Ekiti,297.8524468,7.610426271,5.279974569,439968,562418,67490
Efon-Alayee,NGA244,Ekiti,235.4823406,7.691408338,4.934947171,106812,54466,6394
Ekiti East,NGA245,Ekiti,325.8868488,7.730540957,5.672129783,193256,110382,13913
Ekiti South West,NGA246,Ekiti,350.5896354,7.522467171,5.048797984,198289,66732,8310
Ekiti West,NGA247,Ekiti,371.3187061,7.679974701,5.007241729,254298,110035,13436
Emure,NGA248,Ekiti,305.3035544,7.431385585,5.521189814,120447,63660,8178
Gboyin,NGA249,Ekiti,397.3663025,7.60926023,5.496419461,187018,90586,11597
Idosi-Osi,NGA250,Ekiti,235.3027617,7.857224767,5.186247972,180852,154419,18215
Ijero,NGA251,Ekiti,396.9712624,7.84201788,5.056801088,306752,153841,18174
Ikere,NGA252,Ekiti,266.4447214,7.496017071,5.211910019,220121,124414,15115
Ikole,NGA253,Ekiti,1090.636535,7.892874979,5.511040461,227496,147303,18427
Ilemeji,NGA254,Ekiti,96.5079967,7.955138018,5.232286162,44811,27955,3397
Irepodun-Ifelodun,NGA255,Ekiti,361.7463658,7.708984865,5.233240818,108861,113607,13911
Ise-Orun,NGA256,Ekiti,438.2338919,7.440637683,5.402110466,145032,81836,10335
Moba,NGA257,Ekiti,202.8009855,7.995963805,5.130151186,205286,95529,11475
Oye,NGA258,Ekiti,515.4448465,7.884418675,5.344854283,165737,98728,12058
Aninri,NGA259,Enugu,367.7556014,6.050103648,7.604210335,196755,106874,15411
Awgu,NGA260,Enugu,451.443876,6.14902653,7.453322426,217773,150497,21304
Enugu East,NGA261,Enugu,388.3948251,6.549209436,7.558729984,388828,330275,44468
Enugu North,NGA262,Enugu,107.733141,6.442794139,7.5376748,221154,266107,32552
Enugu South,NGA263,Enugu,68.28693509,6.400621728,7.511520799,263027,204673,25591
Ezeagu,NGA264,Enugu,640.8441522,6.407947456,7.222313166,225386,179062,26077
Igbo-Etiti,NGA265,Enugu,329.8796663,6.684484901,7.422587888,247615,112803,16769
Igbo-Eze North,NGA266,Enugu,297.7067581,7.005808149,7.458771857,291148,108619,16036
Igbo-Eze South,NGA267,Enugu,160.1326608,6.947181959,7.37702816,198240,97220,14287
Isi-Uzo,NGA268,Enugu,889.6151799,6.744939878,7.705640935,194436,111398,16839
Nkanu East,NGA269,Enugu,804.6290031,6.3199089,7.664253887,191435,129865,19042
Nkanu West,NGA270,Enugu,227.5681873,6.321922569,7.521202969,174613,96426,14083
Nsukka,NGA271,Enugu,491.1301637,6.842248079,7.372738571,447505,370181,54315
Oji-River,NGA272,Enugu,407.8702838,6.162483663,7.287166557,181260,88730,12381
Udenu,NGA273,Enugu,251.8497699,6.873665621,7.568379134,211587,141806,21163
Udi,NGA274,Enugu,908.7043544,6.485442751,7.331337782,288724,266684,37876
Uzo-Uwani,NGA275,Enugu,866.6223083,6.732844778,7.141263617,167456,92560,13973
Abaji,NGA276,Federal Capital Territory,1015.926004,8.877565612,6.853413749,157185,137598,22139
Abuja Municipal,NGA277,Federal Capital Territory,1813.332164,8.975748892,7.398095298,1815089,728993,109419
Bwari,NGA278,Federal Capital Territory,938.7440864,9.276258345,7.503035231,247039,523597,84015
Gwagwalada,NGA279,Federal Capital Territory,1069.589924,9.06841059,7.024430319,480158,292817,46634
Kuje,NGA280,Federal Capital Territory,1682.062216,8.66045261,7.25259532,233763,236421,38024
Kwali,NGA281,Federal Capital Territory,1234.199191,8.741360144,6.975737752,191502,1918659,278939
Akko,NGA282,Gombe,2705.965116,10.10836341,11.04556257,286675,540669,107185
Balanga,NGA283,Gombe,1670.884716,9.843436608,11.65865181,261245,211072,41313
Billiri,NGA284,Gombe,757.4491326,9.818194269,11.12011571,243021,174855,34312
Dukku,NGA285,Gombe,3948.886044,10.78657089,10.82975319,273346,252150,54453
Funakaye,NGA286,Gombe,1463.020794,10.79528129,11.35634827,274133,203854,43147
Gombe,NGA287,Gombe,53.4340026,10.2864201,11.16002988,161550,287261,51037
Kaltungo,NGA288,Gombe,905.8806199,9.834605873,11.41897902,222088,171915,33506
Kwami,NGA289,Gombe,1844.865628,10.50753179,11.2078452,408102,295782,60318
Nafada,NGA290,Gombe,1643.719196,11.06400716,11.19802034,145494,91863,19974
Shomgom,NGA291,Gombe,946.8283514,9.656873953,11.19845023,132232,132337,25879
Yamaltu-Deba,NGA292,Gombe,2041.09976,10.26126575,11.4754461,533308,460969,93248
Aboh-Mbaise,NGA293,Imo,186.1174526,5.432616234,7.252247584,281787,291229,39883
Ahiazu-Mbaise,NGA294,Imo,114.7735232,5.560200007,7.264181993,216924,243491,32867
Ehime-Mbano,NGA295,Imo,170.2661774,5.678830905,7.289614753,171856,234736,32184
Ezinihitte,NGA296,Imo,110.3229287,5.475376208,7.326711515,246791,224932,30681
Ideato North,NGA297,Imo,192.2059627,5.879755557,7.130825513,246744,396692,56576
Ideato South,NGA298,Imo,89.38072144,5.807548939,7.136537592,182715,132830,18903
Ihitte-Uboma,NGA299,Imo,104.9832161,5.642860373,7.376903487,143484,133751,17952
Ikeduru,NGA300,Imo,180.4042998,5.563849522,7.154809696,218609,363919,51175
Isiala Mbano,NGA301,Imo,167.2013645,5.681344169,7.189312025,324400,457540,65053
Isu,NGA302,Imo,40.44101113,5.689741416,7.055208433,176242,167792,23626
Mbaitoli,NGA303,Imo,205.9332374,5.596056686,7.02571765,314885,366686,51288
Ngor-Okpala,NGA304,Imo,566.0080142,5.30941975,7.158012863,201546,276845,38076
Njaba,NGA305,Imo,84.76756243,5.705868823,7.008205454,150291,252032,35428
Nkwerre,NGA306,Imo,38.44732096,5.749804496,7.104303819,87722,113918,16145
Nwangele,NGA307,Imo,63.89778547,5.713084781,7.12613347,178372,230869,32885
Obowo,NGA308,Imo,94.16123258,5.565320095,7.362579939,189145,215995,28761
Oguta,NGA309,Imo,488.0429614,5.666010933,6.799318119,172038,138608,19376
Ohaji-Egbema,NGA310,Imo,897.9965797,5.425383121,6.822790546,178497,327215,44962
Okigwe,NGA311,Imo,323.67689,5.832167314,7.320403228,210215,225941,30979
Orlu,NGA312,Imo,132.9487369,5.803589677,7.037751816,183719,130645,18439
Orsu,NGA313,Imo,56.40816297,5.843749755,6.981104246,77618,393524,55776
Oru East,NGA314,Imo,137.0094713,5.71435249,6.941515305,149464,219518,31522
Oru West,NGA315,Imo,94.20635017,5.743794163,6.891338697,142483,270499,37924
Owerri North,NGA316,Imo,199.9956756,5.4507192,7.090018322,266782,241805,33605
Owerri West,NGA317,Imo,297.1274337,5.433482163,6.969014439,113241,277490,36345
Owerri-Municipal,NGA318,Imo,58.4773344,5.477425376,7.01654978,177305,394200,54161
Unuimo,NGA319,Imo,87.61930423,5.787935828,7.226489782,117038,358224,48927
