,LGA,repDS,hh_itn,ci_l,ci_u,Number.of.Participants,X2010,kill_rate,simday
97,Zaki,Taura,0.505273595,0.405472957,0.605074232,1417,0.846886274,0.728203626,152
98,Kolokuma/Opokuma,Ahoada West,0.231555069,0.118336231,0.344773907,778,0.213575954,0.308449229,152
99,Nembe,Ahoada West,0.231555069,0.118336231,0.344773907,778,0.428393893,0.482697653,152
100,Ogbia,Ahoada West,0.231555069,0.118336231,0.344773907,778,0.37451959,0.438902055,152
101,Sagbama,Ahoada West,0.231555069,0.118336231,0.344773907,778,0.232222328,0.322984135,152
102,Yenegoa,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.255291855,0.34129114,152
103,Ado,Akinyele,0.017606621,0.00896343,0.026249813,2762,0.678018599,0.654118172,152
104,Agatu,Keana,0.071524932,0.039302292,0.103747573,1810,0.71427303,0.672937814,152
105,Apa,Keana,0.071524932,0.039302292,0.103747573,1810,0.694686344,0.662976733,152
106,Buruku,Keana,0.071524932,0.039302292,0.103747573,1810,0.697301489,0.664334689,152
107,Gboko,Keana,0.071524932,0.039302292,0.103747573,1810,0.665887506,0.647449028,152
108,Guma,Keana,0.071524932,0.039302292,0.103747573,1810,0.65706787,0.642483062,152
109,Gwer East,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.649747791,0.638286528,152
110,Gwer West,Keana,0.071524932,0.039302292,0.103747573,1810,0.6828189,0.656705559,152
111,Katsina-Ala,Keana,0.071524932,0.039302292,0.103747573,1810,0.663065692,0.645870924,152
112,Konshisha,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.68961417,0.660318257,152
113,Logo,Keana,0.071524932,0.039302292,0.103747573,1810,0.696383714,0.663859104,152
114,Makurdi,Keana,0.071524932,0.039302292,0.103747573,1810,0.666725451,0.647915703,152
115,Obi1,Keana,0.071524932,0.039302292,0.103747573,1810,0.64045684,0.632862518,152
116,Ogbadibo,Owan East,0.15109558,0.006229804,0.295961357,1840,0.586032403,0.598931974,152
117,Ohimini,Akinyele,0.017606621,0.00896343,0.026249813,2762,0.622038042,0.621788876,152
118,Oju,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.672763098,0.651251876,152
119,Okpokwu,Akinyele,0.017606621,0.00896343,0.026249813,2762,0.580321299,0.595162952,152
120,Oturkpo,Owan East,0.15109558,0.006229804,0.295961357,1840,0.653986212,0.640724648,152
121,Tarka,Keana,0.071524932,0.039302292,0.103747573,1810,0.679986445,0.655182389,152
122,Ushongo,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.693932723,0.662583798,152
123,Vandeikya,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.719278958,0.675406309,152
124,Askira/Uba,Darazo,0.391079407,0.281666828,0.500491987,1994,0.799002206,0.710596131,152
125,Enugu East,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.732094055,0.681583267,152
126,Bayo,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.755742594,0.692450606,152
127,Biu,Darazo,0.391079407,0.281666828,0.500491987,1994,0.819189986,0.718326049,152
128,Chibok,Darazo,0.391079407,0.281666828,0.500491987,1994,0.822727183,0.719633763,152
129,Damboa,Darazo,0.391079407,0.281666828,0.500491987,1994,0.847891567,0.728546793,152
130,Biase,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.72535173,0.678358876,152
131,Dikwa,Darazo,0.391079407,0.281666828,0.500491987,1994,0.839989862,0.72582084,152
132,Gubio,Gawabawa,0.455825341,0.140478508,0.771172173,643,0.885328442,0.740593113,152
133,Jere,Gawabawa,0.455825341,0.140478508,0.771172173,643,0.894751276,0.743407762,152
134,Guzamala,Babura,0.283283314,0.107488875,0.459077753,800,0.868687456,0.735412054,152
135,Hawul,Darazo,0.391079407,0.281666828,0.500491987,1994,0.800890653,0.711338678,152
136,Kwaya Kusar,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.752705925,0.691093319,152
137,Enugu North,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.745485806,0.687821218,152
138,Kaga,Darazo,0.391079407,0.281666828,0.500491987,1994,0.867595292,0.735062435,152
139,Mafa,Darazo,0.391079407,0.281666828,0.500491987,1994,0.869604699,0.735704756,152
140,Obudu,Obubra,0.206114968,0.151855269,0.260374668,950,0.720163416,0.675839191,152
141,Konduga,Darazo,0.391079407,0.281666828,0.500491987,1994,0.881708836,0.73948925,152
142,Bomadi,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.20113515,0.298900238,152
143,Magumeri,Gawabawa,0.455825341,0.140478508,0.771172173,643,0.900600028,0.745112539,152
144,Maiduguri,Darazo,0.391079407,0.281666828,0.500491987,1994,0.90508417,0.746397967,152
145,Shani,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.807562298,0.713929639,152
146,Abi,Obubra,0.206114968,0.151855269,0.260374668,950,0.749286454,0.689551549,152
147,Marte,Babura,0.283283314,0.107488875,0.459077753,800,0.820706856,0.718888525,152
148,Nganzai,Gawabawa,0.455825341,0.140478508,0.771172173,643,0.869473401,0.735662909,152
149,Bekwara,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.726888176,0.679098615,152
150,Calabar-Municipal,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.733458221,0.682228805,152
151,Ikom,Obubra,0.206114968,0.151855269,0.260374668,950,0.741450504,0.685964742,152
152,Obubra,Obubra,0.206114968,0.151855269,0.260374668,950,0.728725202,0.679979223,152
153,Enugu South,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.732389788,0.681723406,152
154,Odukpani,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.71795043,0.674754248,152
155,Ogoja,Obubra,0.206114968,0.151855269,0.260374668,950,0.717936697,0.674747496,152
156,Yakurr,Obubra,0.206114968,0.151855269,0.260374668,950,0.686085414,0.658449506,152
157,Ogbomosho North,Akinyele,0.017606621,0.00896343,0.026249813,2762,0.440458321,0.492321872,152
158,Yala,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.72359461,0.677509292,152
159,Aniocha North,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.7113127,0.671463264,152
160,Aniocha South,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.696240169,0.663784624,152
161,Ibadan South West,Owan East,0.15109558,0.006229804,0.295961357,1840,0.425639942,0.480489238,152
162,Ethiope East,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.164572957,0.271621324,152
163,Ethiope West,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.349579617,0.418361212,152
164,Ika North East,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.72358348,0.677503899,152
165,Ika South,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.70920217,0.670405285,152
166,Isoko North,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.196837883,0.295631594,152
167,Ogbomosho South,Akinyele,0.017606621,0.00896343,0.026249813,2762,0.403062277,0.462244074,152
168,Isoko South,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.186608201,0.287915127,152
169,Ndokwa East,Ahoada West,0.231555069,0.118336231,0.344773907,778,0.437314029,0.489821773,152
170,Ndokwa West,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.381861731,0.444928757,152
171,Okpe,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.17907042,0.282289607,152
172,Oshimili North,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.703613714,0.667576819,152
173,Oshimili South,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.656166852,0.641970181,152
174,Patani,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.161588502,0.269450731,152
175,Sapele,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.296214669,0.374442026,152
176,Udu,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.163694717,0.270981655,152
177,Ughelli North,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.171828269,0.276934892,152
178,Ughelli South,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.178727224,0.282034731,152
179,Ukwuani,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.375085845,0.439367294,152
180,Uvwie,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.156926538,0.266078069,152
181,Warri South,Isoko South,0.090988503,0.052664687,0.129312319,1031,0.167016668,0.273405242,152
182,Ohaozara,Obubra,0.206114968,0.151855269,0.260374668,950,0.701442834,0.666467469,152
183,Abakaliki,Owan East,0.15109558,0.006229804,0.295961357,1840,0.664000154,0.646394643,152
184,Afikpo North,Oru West,0.293760221,0.189931646,0.397588797,795,0.714333663,0.672967901,152
185,Afikpo South,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.695112871,0.663198804,152
186,Ebonyi,Owan East,0.15109558,0.006229804,0.295961357,1840,0.671909446,0.650782991,152
187,Ezza North,Owan East,0.15109558,0.006229804,0.295961357,1840,0.695735442,0.663522533,152
188,Ezza South,Obubra,0.206114968,0.151855269,0.260374668,950,0.693307446,0.662257236,152
189,Ikwo,Obubra,0.206114968,0.151855269,0.260374668,950,0.657635366,0.642805566,152
190,Ishielu,Owan East,0.15109558,0.006229804,0.295961357,1840,0.690251236,0.660653951,152
191,Ivo,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.721996879,0.676733438,152
192,Izzi,Owan East,0.15109558,0.006229804,0.295961357,1840,0.680877622,0.655662723,152
193,Ohaukwu,Owan East,0.15109558,0.006229804,0.295961357,1840,0.699327869,0.665380974,152
194,Onicha,Obubra,0.206114968,0.151855269,0.260374668,950,0.702320996,0.666916938,152
195,Akoko-Edo,Owan East,0.15109558,0.006229804,0.295961357,1840,0.533449464,0.562824761,152
196,Egor,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.427639316,0.482092958,152
197,Esan North East,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.646994758,0.636690688,152
198,Esan Central,Owan East,0.15109558,0.006229804,0.295961357,1840,0.66839083,0.648840552,152
199,Esan South East,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.69995288,0.665702641,152
200,Esan West,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.663582231,0.646160555,152
201,Etsako Central,Owan East,0.15109558,0.006229804,0.295961357,1840,0.579178439,0.594404112,152
202,Etsako East,Owan East,0.15109558,0.006229804,0.295961357,1840,0.524852457,0.556635326,152
203,Etsako West,Owan East,0.15109558,0.006229804,0.295961357,1840,0.548221944,0.573279081,152
204,Igueben,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.706601003,0.669093656,152
205,Ikpoba-Okha,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.333249478,0.404889434,152
206,Aninri,Oru West,0.293760221,0.189931646,0.397588797,795,0.673926504,0.651889409,152
207,Oredo,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.325448921,0.398458233,152
208,Orhionmwon,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.406758013,0.465246178,152
209,Ovia North East,Owan East,0.15109558,0.006229804,0.295961357,1840,0.491984378,0.532303663,152
210,Ovia South West,Akinyele,0.017606621,0.00896343,0.026249813,2762,0.45119633,0.500813057,152
211,Owan East,Owan East,0.15109558,0.006229804,0.295961357,1840,0.548631834,0.573565809,152
212,Owan West,Owan East,0.15109558,0.006229804,0.295961357,1840,0.575049895,0.591650096,152
213,Uhunmwonde,Owan East,0.15109558,0.006229804,0.295961357,1840,0.652893739,0.640098387,152
214,Ado Ekiti,Owan East,0.15109558,0.006229804,0.295961357,1840,0.549041218,0.573851999,152
215,Efon-Alayee,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.533384286,0.562778123,152
216,Ekiti East,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.49511614,0.534665316,152
217,Ekiti South West,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.546150378,0.571827174,152
218,Awgu,Oru West,0.293760221,0.189931646,0.397588797,795,0.698642801,0.665027832,152
219,Ekiti West,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.562659647,0.583266655,152
220,Emure,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.558786026,0.580609814,152
221,Gboyin,Obubra,0.206114968,0.151855269,0.260374668,950,0.518246485,0.551828397,152
222,Idosi-Osi,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.566666639,0.585997098,152
223,Ijero,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.591837399,0.602723292,152
224,Ikere,Owan East,0.15109558,0.006229804,0.295961357,1840,0.602420414,0.609531052,152
225,Ikole,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.52927182,0.559826545,152
226,Ilemeji,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.553150058,0.576714208,152
227,Irepodun/Ifelodun,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.569981101,0.588241784,152
228,Ise/Orun,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.5625952,0.58322259,152
229,Moba,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.558810222,0.580626462,152
230,Oye,Oke-Ero,0.203391656,0.100538296,0.306245016,2881,0.533361146,0.562761564,152
231,Ezeagu,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.707289061,0.669441434,152
232,Igbo-Etiti,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.71005599,0.670833967,152
233,Igbo-Eze North,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.601705062,0.609075158,152
234,Igbo-Eze South,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.623469591,0.622664742,152
235,Isi-Uzo,Owan East,0.15109558,0.006229804,0.295961357,1840,0.660205571,0.644261082,152
236,Nkanu East,Owan East,0.15109558,0.006229804,0.295961357,1840,0.691398683,0.661257287,152
237,Nkanu West,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.690454817,0.660761117,152
238,Nsukka,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.674576623,0.652244918,152
239,Oji-River,Oru West,0.293760221,0.189931646,0.397588797,795,0.721299287,0.676393691,152
240,Udenu,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.594969736,0.604752315,152
241,Udi,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.695666543,0.66348673,152
242,Uzo-Uwani,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.68270673,0.656645433,152
243,Ahiazu-Mbaise,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.726339082,0.678834584,152
244,Abaji,Keana,0.071524932,0.039302292,0.103747573,1810,0.586097277,0.598974566,152
245,Bwari,Giwa,0.128304457,-0.046796722,0.303405637,1132,0.633975705,0.629014448,152
246,Gwagwalada,Keana,0.071524932,0.039302292,0.103747573,1810,0.582431357,0.596559961,152
247,Kuje,Keana,0.071524932,0.039302292,0.103747573,1810,0.585497542,0.598580631,152
248,Kwali,Keana,0.071524932,0.039302292,0.103747573,1810,0.544731001,0.570829681,152
249,Bunkure,Gwarzo,0.335972498,0.205244859,0.466700138,1793,0.764204429,0.696174099,152
250,Abuja Municipal,Keana,0.071524932,0.039302292,0.103747573,1810,0.607140775,0.612523708,152
251,Akko,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.708246615,0.669924439,152
252,Balanga,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.77202796,0.699540489,152
253,Billiri,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.576665258,0.592730021,152
254,Dukku,Darazo,0.391079407,0.281666828,0.500491987,1994,0.806641347,0.713574972,152
255,Funakaye,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.772965858,0.699939177,152
256,Gombe,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.745665948,0.68790363,152
257,Kaltungo,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.753449087,0.691426519,152
258,Kwami,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.747784527,0.688869867,152
259,Dala,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.767276689,0.697504755,152
260,Nafada,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.832554663,0.723195366,152
261,Shomgom,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.662635818,0.645629629,152
262,Yamaltu/Deba,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.746138325,0.688119545,152
263,Aboh-Mbaise,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.701556049,0.66652547,152
264,Fagge,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.772190332,0.699609586,152
265,Ehime-Mbano,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.736192627,0.683515836,152
266,Ezinihitte,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.72064873,0.676076305,152
267,Ideato North,Oru West,0.293760221,0.189931646,0.397588797,795,0.747443742,0.688714812,152
268,Ideato South,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.747611359,0.688791095,152
269,Ihitte/Uboma,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.721281305,0.676384925,152
270,Ikeduru,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.736448415,0.683635759,152
271,Isiala Mbano,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.751562645,0.690579418,152
272,Isu,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.741418421,0.685949902,152
273,Mbaitoli,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.680519484,0.655469812,152
274,Obowo,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.718957553,0.675248761,152
275,Ngor-Okpala,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.634836777,0.629528737,152
