LGA,Archetype,Habitat_Multiplier
Tafawa-Balewa,Alkaleri,1.6810244793379772
Toro,Giwa,12.681704377359994
Warji,Takali,8.68747030317599
Zaki,Taura,0.2502560963015474
Brass,Ahoada West,1.3863792175465242
Ekeremor,Ahoada West,1.3863792175465242
Kolokuma-Opokuma,Ahoada West,1.3863792175465242
Nembe,Ahoada West,1.3863792175465242
Ogbia,Ahoada West,1.3863792175465242
Sagbama,Ahoada West,1.3863792175465242
Southern Ijaw,Ahoada West,1.3863792175465242
Yenegoa,Isoko South,0.19387697199999995
Ado,Akinyele,3.7555898584922986
Agatu,Keana,0.5289590485301446
Apa,Keana,0.5289590485301446
Buruku,Keana,0.5289590485301446
Gboko,Keana,0.5289590485301446
Guma,Keana,0.5289590485301446
Gwer East,Oke-Ero,3.5250744032478036
Gwer West,Keana,0.5289590485301446
Katsina-Ala,Keana,0.5289590485301446
Konshisha,Oke-Ero,3.5250744032478036
Kwande,Oke-Ero,3.5250744032478036
Logo,Keana,0.5289590485301446
Makurdi,Keana,0.5289590485301446
Obi1,Keana,0.5289590485301446
Ogbadibo,Owan East,5.2151226229265895
Ohimini,Akinyele,3.7555898584922986
Oju,Oke-Ero,3.5250744032478036
Okpokwu,Akinyele,3.7555898584922986
Oturkpo,Owan East,5.2151226229265895
Tarka,Keana,0.5289590485301446
Ukum,Keana,0.5289590485301446
Ushongo,Oke-Ero,3.5250744032478036
Vandeikya,Oke-Ero,3.5250744032478036
Abadam,Babura,1.3024457190386238
Askira-Uba,Darazo,3.3028092532223194
Bama,Darazo,3.3028092532223194
Bayo,Alkaleri,1.6810244793379772
Biu,Darazo,3.3028092532223194
Chibok,Darazo,3.3028092532223194
Damboa,Darazo,3.3028092532223194
Dikwa,Darazo,3.3028092532223194
Gubio,Gawabawa,6.94448640599974
Guzamala,Babura,1.3024457190386238
Gwoza,Darazo,3.3028092532223194
Hawul,Darazo,3.3028092532223194
Jere,Gawabawa,6.94448640599974
Kaga,Darazo,3.3028092532223194
Kala-Balge,Darazo,3.3028092532223194
Konduga,Darazo,3.3028092532223194
Kukawa,Babura,1.3024457190386238
Kwaya Kusar,Alkaleri,1.6810244793379772
Mafa,Darazo,3.3028092532223194
Magumeri,Gawabawa,6.94448640599974
Maiduguri,Darazo,3.3028092532223194
Marte,Babura,1.3024457190386238
Mobbar,Babura,1.3024457190386238
Monguno,Babura,1.3024457190386238
Ngala,Taura,0.2502560963015474
Nganzai,Gawabawa,6.94448640599974
Shani,Alkaleri,1.6810244793379772
Abi,Obubra,9.081966442010437
Akamkpa,Ngor-Okpala,12.222708660637345
Akpabuyo,Nsit Ubium,0.9798485432183092
Bakassi,Obubra,9.081966442010437
Bekwara,Oke-Ero,3.5250744032478036
Biase,Ngor-Okpala,12.222708660637345
Boki,Obubra,9.081966442010437
Calabar South,Nsit Ubium,0.9798485432183092
Calabar-Municipal,Nsit Ubium,0.9798485432183092
Etung,Obubra,9.081966442010437
Ikom,Obubra,9.081966442010437
Obanliku,Obubra,9.081966442010437
Obubra,Obubra,9.081966442010437
Obudu,Obubra,9.081966442010437
Odukpani,Ngor-Okpala,12.222708660637345
Ogoja,Obubra,9.081966442010437
Yakurr,Obubra,9.081966442010437
Yala,Oke-Ero,3.5250744032478036
Aniocha North,Uzo-Uwani,0.14888028671038894
Aniocha South,Uzo-Uwani,0.14888028671038894
Bomadi,Isoko South,0.19387697199999995
Burutu,Isoko South,0.19387697199999995
Ethiope East,Isoko South,0.19387697199999995
Ethiope West,Isoko South,0.19387697199999995
Ika North East,Uzo-Uwani,0.14888028671038894
Ika South,Uzo-Uwani,0.14888028671038894
Isoko North,Isoko South,0.19387697199999995
Isoko South,Isoko South,0.19387697199999995
Ndokwa East,Ahoada West,1.3863792175465242
Ndokwa West,Isoko South,0.19387697199999995
Okpe,Isoko South,0.19387697199999995
Oshimili North,Uzo-Uwani,0.14888028671038894
Oshimili South,Uzo-Uwani,0.14888028671038894
Patani,Isoko South,0.19387697199999995
Sapele,Isoko South,0.19387697199999995
Udu,Isoko South,0.19387697199999995
Ughelli North,Isoko South,0.19387697199999995
Ughelli South,Isoko South,0.19387697199999995
Ukwuani,Uzo-Uwani,0.14888028671038894
Uvwie,Isoko South,0.19387697199999995
Warri North,Owan East,5.2151226229265895
Warri South,Isoko South,0.19387697199999995
Warri South West,Isoko South,0.19387697199999995
Abakaliki,Owan East,5.2151226229265895
Afikpo North,Oru West,0.6552592499051878
Afikpo South,Ngor-Okpala,12.222708660637345
Ebonyi,Owan East,5.2151226229265895
Ezza North,Owan East,5.2151226229265895
Ezza South,Obubra,9.081966442010437
Ikwo,Obubra,9.081966442010437
Ishielu,Owan East,5.2151226229265895
Ivo,Ngor-Okpala,12.222708660637345
Izzi,Owan East,5.2151226229265895
Ohaozara,Obubra,9.081966442010437
Ohaukwu,Owan East,5.2151226229265895
Onicha,Obubra,9.081966442010437
Akoko-Edo,Owan East,5.2151226229265895
Egor,Uzo-Uwani,0.14888028671038894
Esan Central,Owan East,5.2151226229265895
Esan North East,Uzo-Uwani,0.14888028671038894
Esan South East,Uzo-Uwani,0.14888028671038894
Esan West,Uzo-Uwani,0.14888028671038894
Etsako Central,Owan East,5.2151226229265895
Etsako East,Owan East,5.2151226229265895
Etsako West,Owan East,5.2151226229265895
Igueben,Uzo-Uwani,0.14888028671038894
Ikpoba-Okha,Uzo-Uwani,0.14888028671038894
Oredo,Uzo-Uwani,0.14888028671038894
Orhionmwon,Uzo-Uwani,0.14888028671038894
Ovia North East,Owan East,5.2151226229265895
Ovia South West,Akinyele,3.7555898584922986
Owan East,Owan East,5.2151226229265895
Owan West,Owan East,5.2151226229265895
Uhunmwonde,Owan East,5.2151226229265895
Ado Ekiti,Owan East,5.2151226229265895
Efon-Alayee,Oke-Ero,3.5250744032478036
Ekiti East,Oke-Ero,3.5250744032478036
Ekiti South West,Oke-Ero,3.5250744032478036
Ekiti West,Oke-Ero,3.5250744032478036
Emure,Oke-Ero,3.5250744032478036
Gboyin,Obubra,9.081966442010437
Idosi-Osi,Oke-Ero,3.5250744032478036
Ijero,Oke-Ero,3.5250744032478036
Ikere,Owan East,5.2151226229265895
Ikole,Oke-Ero,3.5250744032478036
Ilemeji,Oke-Ero,3.5250744032478036
Irepodun-Ifelodun,Oke-Ero,3.5250744032478036
Ise-Orun,Oke-Ero,3.5250744032478036
Moba,Oke-Ero,3.5250744032478036
Oye,Oke-Ero,3.5250744032478036
Aninri,Oru West,0.6552592499051878
Awgu,Oru West,0.6552592499051878
Enugu East,Uzo-Uwani,0.14888028671038894
Enugu North,Uzo-Uwani,0.14888028671038894
Enugu South,Uzo-Uwani,0.14888028671038894
Ezeagu,Uzo-Uwani,0.14888028671038894
Igbo-Etiti,Uzo-Uwani,0.14888028671038894
Igbo-Eze North,Uzo-Uwani,0.14888028671038894
Igbo-Eze South,Uzo-Uwani,0.14888028671038894
Isi-Uzo,Owan East,5.2151226229265895
Nkanu East,Owan East,5.2151226229265895
Nkanu West,Uzo-Uwani,0.14888028671038894
Nsukka,Uzo-Uwani,0.14888028671038894
Oji-River,Oru West,0.6552592499051878
Udenu,Uzo-Uwani,0.14888028671038894
Udi,Uzo-Uwani,0.14888028671038894
Uzo-Uwani,Uzo-Uwani,0.14888028671038894
Abaji,Keana,0.5289590485301446
Abuja Municipal,Keana,0.5289590485301446
Bwari,Giwa,12.681704377359994
Gwagwalada,Keana,0.5289590485301446
Kuje,Keana,0.5289590485301446
Kwali,Keana,0.5289590485301446
Akko,Alkaleri,1.6810244793379772
Balanga,Alkaleri,1.6810244793379772
Billiri,Alkaleri,1.6810244793379772
Dukku,Darazo,3.3028092532223194
Funakaye,Alkaleri,1.6810244793379772
Gombe,Alkaleri,1.6810244793379772
Kaltungo,Alkaleri,1.6810244793379772
Kwami,Alkaleri,1.6810244793379772
Nafada,Alkaleri,1.6810244793379772
Shomgom,Alkaleri,1.6810244793379772
Yamaltu-Deba,Alkaleri,1.6810244793379772
Aboh-Mbaise,Ngor-Okpala,12.222708660637345
Ahiazu-Mbaise,Ngor-Okpala,12.222708660637345
Ehime-Mbano,Ngor-Okpala,12.222708660637345
Ezinihitte,Ngor-Okpala,12.222708660637345
Ideato North,Oru West,0.6552592499051878
Ideato South,Ngor-Okpala,12.222708660637345
Ihitte-Uboma,Ngor-Okpala,12.222708660637345
Ikeduru,Ngor-Okpala,12.222708660637345
Isiala Mbano,Ngor-Okpala,12.222708660637345
Isu,Ngor-Okpala,12.222708660637345
Mbaitoli,Ngor-Okpala,12.222708660637345
Ngor-Okpala,Ngor-Okpala,12.222708660637345
Njaba,Ngor-Okpala,12.222708660637345
Nkwerre,Ngor-Okpala,12.222708660637345
Nwangele,Ngor-Okpala,12.222708660637345
Obowo,Ngor-Okpala,12.222708660637345
Oguta,Oru West,0.6552592499051878
Ohaji-Egbema,Oru West,0.6552592499051878
Okigwe,Ngor-Okpala,12.222708660637345
Orlu,Oru West,0.6552592499051878
Orsu,Oru West,0.6552592499051878
Oru East,Oru West,0.6552592499051878
Oru West,Oru West,0.6552592499051878
Owerri North,Ngor-Okpala,12.222708660637345
Owerri West,Ngor-Okpala,12.222708660637345
Owerri-Municipal,Oru West,0.6552592499051878
Unuimo,Ngor-Okpala,12.222708660637345
Auyo,Taura,0.2502560963015474
Babura,Babura,1.3024457190386238
Biriniwa,Taura,0.2502560963015474
Birni Kudu,Takali,8.68747030317599
Buji,Takali,8.68747030317599
Dutse,Takali,8.68747030317599
Gagarawa,Taura,0.2502560963015474
Garki,Babura,1.3024457190386238
Gumel,Babura,1.3024457190386238
Guri,Taura,0.2502560963015474
Gwaram,Takali,8.68747030317599
Gwiwa,Babura,1.3024457190386238
Hadejia,Taura,0.2502560963015474
Jahun,Taura,0.2502560963015474
Kafin Hausa,Taura,0.2502560963015474
Kaugama,Taura,0.2502560963015474
Kazaure,Babura,1.3024457190386238
Kiri Kasamma,Taura,0.2502560963015474
Kiyawa,Takali,8.68747030317599
Maigatari,Babura,1.3024457190386238
Malam Madori,Taura,0.2502560963015474
Miga,Taura,0.2502560963015474
Ringim,Taura,0.2502560963015474
Roni,Babura,1.3024457190386238
Sule-Tankarkar,Babura,1.3024457190386238
Taura,Taura,0.2502560963015474
Yankwashi,Babura,1.3024457190386238
Birnin-Gwari,Giwa,12.681704377359994
Chikun,Soba,0.17286054045163954
Giwa,Giwa,12.681704377359994
Igabi,Soba,0.17286054045163954
Ikara,Soba,0.17286054045163954
Jaba,Oke-Ero,3.5250744032478036
Jema'a,Soba,0.17286054045163954
Kachia,Ngor-Okpala,12.222708660637345
Kaduna North,Soba,0.17286054045163954
Kaduna South,Soba,0.17286054045163954
Kagarko,Oke-Ero,3.5250744032478036
Kajuru,Soba,0.17286054045163954
Kaura,Soba,0.17286054045163954
Kauru,Soba,0.17286054045163954
Kubau,Soba,0.17286054045163954
Kudan,Giwa,12.681704377359994
Lere,Soba,0.17286054045163954
Markafi,Gwarzo,12.139252366013222
Sabon-Gari,Soba,0.17286054045163954
Sanga,Soba,0.17286054045163954
Soba,Soba,0.17286054045163954
Zango-Kataf,Soba,0.17286054045163954
Zaria,Soba,0.17286054045163954
Ajingi,Taura,0.2502560963015474
Albasu,Takali,8.68747030317599
Bagwai,Babura,1.3024457190386238
Bebeji,Gwarzo,12.139252366013222
Bichi,Gwarzo,12.139252366013222
Bunkure,Gwarzo,12.139252366013222
Dala,Alkaleri,1.6810244793379772
Dambatta,Babura,1.3024457190386238
Dawakin Kudu,Gwarzo,12.139252366013222
Dawakin Tofa,Taura,0.2502560963015474
Doguwa,Giwa,12.681704377359994
Fagge,Alkaleri,1.6810244793379772
Gabasawa,Taura,0.2502560963015474
Garko,Gwarzo,12.139252366013222
Garum Mallam,Gwarzo,12.139252366013222
Gaya,Gwarzo,12.139252366013222
Gezawa,Gwarzo,12.139252366013222
Gwale,Alkaleri,1.6810244793379772
Gwarzo,Gwarzo,12.139252366013222
Kabo,Gwarzo,12.139252366013222
Kano Municipal,Alkaleri,1.6810244793379772
Karaye,Gwarzo,12.139252366013222
Kibiya,Gwarzo,12.139252366013222
Kiru,Gwarzo,12.139252366013222
Kumbotso,Taura,0.2502560963015474
Kunchi,Babura,1.3024457190386238
Kura,Gwarzo,12.139252366013222
Madobi,Taura,0.2502560963015474
Makoda,Babura,1.3024457190386238
Minjibir,Taura,0.2502560963015474
Nasarawa1,Alkaleri,1.6810244793379772
Rano,Gwarzo,12.139252366013222
Rimin Gado,Gwarzo,12.139252366013222
Rogo,Gwarzo,12.139252366013222
Shanono,Gwarzo,12.139252366013222
Sumaila,Takali,8.68747030317599
Takali,Takali,8.68747030317599
Tarauni,Alkaleri,1.6810244793379772
Tofa,Taura,0.2502560963015474
Tsanyawa,Gwarzo,12.139252366013222
Tudun Wada,Gwarzo,12.139252366013222
Ungogo,Taura,0.2502560963015474
Warawa,Gwarzo,12.139252366013222
Wudil,Gwarzo,12.139252366013222
Bakori,Gwarzo,12.139252366013222
Batagarawa,Rimi,14.497631872993884
Batsari,Rimi,14.497631872993884
Baure,Babura,1.3024457190386238
Bindawa,Rimi,14.497631872993884
Charanchi,Rimi,14.497631872993884
Dan Musa,Rimi,14.497631872993884
Dandume,Giwa,12.681704377359994
Danja,Giwa,12.681704377359994
Daura,Babura,1.3024457190386238
Dutsi,Rimi,14.497631872993884
Dutsin-Ma,Rimi,14.497631872993884
Faskari,Giwa,12.681704377359994
Funtua,Gwarzo,12.139252366013222
Ingawa,Rimi,14.497631872993884
Jibia,Rimi,14.497631872993884
Kafur,Gwarzo,12.139252366013222
Kaita,Rimi,14.497631872993884
Kankara,Rimi,14.497631872993884
Kankia,Rimi,14.497631872993884
Katsina,Rimi,14.497631872993884
Kurfi,Rimi,14.497631872993884
Kusada,Rimi,14.497631872993884
Mai'Adua,Rimi,14.497631872993884
Malumfashi,Gwarzo,12.139252366013222
Mani,Rimi,14.497631872993884
Mashi,Rimi,14.497631872993884
Matazuu,Rimi,14.497631872993884
Musawa,Gwarzo,12.139252366013222
Rimi,Rimi,14.497631872993884
Sabuwa,Giwa,12.681704377359994
Safana,Babura,1.3024457190386238
Sandamu,Rimi,14.497631872993884
Zango,Babura,1.3024457190386238
Aleiro,Birnin Kebbi,14.114749645607073
Arewa-Dandi,Birnin Kebbi,14.114749645607073
Argungu,Birnin Kebbi,14.114749645607073
Augie,Birnin Kebbi,14.114749645607073
Bagudo,Birnin Kebbi,14.114749645607073
Birnin Kebbi,Birnin Kebbi,14.114749645607073
Bunza,Birnin Kebbi,14.114749645607073
Dandi,Birnin Kebbi,14.114749645607073
Fakai,Birnin Kebbi,14.114749645607073
Gwandu,Birnin Kebbi,14.114749645607073
Jega,Birnin Kebbi,14.114749645607073
Kalgo,Birnin Kebbi,14.114749645607073
Koko-Besse,Birnin Kebbi,14.114749645607073
Maiyama,Birnin Kebbi,14.114749645607073
Ngaski,Owan East,5.2151226229265895
Sakaba,Alkaleri,1.6810244793379772
Shanga,Birnin Kebbi,14.114749645607073
Suru,Birnin Kebbi,14.114749645607073
Wasagu-Danko,Alkaleri,1.6810244793379772
Yauri,Birnin Kebbi,14.114749645607073
Zuru,Alkaleri,1.6810244793379772
Adavi,Owan East,5.2151226229265895
Ajaokuta,Owan East,5.2151226229265895
Ankpa,Owan East,5.2151226229265895
Bassa1,Keana,0.5289590485301446
Dekina,Owan East,5.2151226229265895
Ibaji,Uzo-Uwani,0.14888028671038894
Idah,Uzo-Uwani,0.14888028671038894
Igalamela-Odolu,Uzo-Uwani,0.14888028671038894
Ijumu,Oke-Ero,3.5250744032478036
Kabba-Bunu,Oke-Ero,3.5250744032478036
Kogi,Keana,0.5289590485301446
Lokoja,Keana,0.5289590485301446
Mopa-Muro,Oke-Ero,3.5250744032478036
Ofu,Owan East,5.2151226229265895
Ogori-Mangongo,Owan East,5.2151226229265895
Okehi,Owan East,5.2151226229265895
Okene,Owan East,5.2151226229265895
Olamabolo,Owan East,5.2151226229265895
Omala,Keana,0.5289590485301446
Yagba East,Oke-Ero,3.5250744032478036
Yagba West,Oke-Ero,3.5250744032478036
Asa,Oke-Ero,3.5250744032478036
Baruten,Oke-Ero,3.5250744032478036
Edu,Oke-Ero,3.5250744032478036
Ekiti,Oke-Ero,3.5250744032478036
Ifelodun1,Oke-Ero,3.5250744032478036
Ilorin East,Oke-Ero,3.5250744032478036
Ilorin South,Oke-Ero,3.5250744032478036
Ilorin West,Owan East,5.2151226229265895
Irepodun1,Owan East,5.2151226229265895
Isin,Oke-Ero,3.5250744032478036
Kaiama,Oke-Ero,3.5250744032478036
Moro,Oke-Ero,3.5250744032478036
Offa,Akinyele,3.7555898584922986
Oke-Ero,Oke-Ero,3.5250744032478036
Oyun,Oke-Ero,3.5250744032478036
Pategi,Oke-Ero,3.5250744032478036
Agege,Uzo-Uwani,0.14888028671038894
Ajeromi-Ifelodun,Uzo-Uwani,0.14888028671038894
Alimosho,Uzo-Uwani,0.14888028671038894
Amuwo-Odofin,Isoko South,0.19387697199999995
Apapa,Isoko South,0.19387697199999995
Badagry,Uzo-Uwani,0.14888028671038894
Epe,Uzo-Uwani,0.14888028671038894
Eti-Osa,Isoko South,0.19387697199999995
Ibeju-Lekki,Uzo-Uwani,0.14888028671038894
Ifako-Ijaye,Uzo-Uwani,0.14888028671038894
Ikeja,Uzo-Uwani,0.14888028671038894
Ikorodu,Uzo-Uwani,0.14888028671038894
Kosofe,Isoko South,0.19387697199999995
Lagos Island,Isoko South,0.19387697199999995
Lagos Mainland,Isoko South,0.19387697199999995
Mushin,Isoko South,0.19387697199999995
Ojo,Isoko South,0.19387697199999995
Oshodi-Isolo,Uzo-Uwani,0.14888028671038894
Shomolu,Isoko South,0.19387697199999995
Surulere1,Oke-Ero,3.5250744032478036
Akwanga,Oke-Ero,3.5250744032478036
Awe,Keana,0.5289590485301446
Doma,Keana,0.5289590485301446
Karu,Oke-Ero,3.5250744032478036
Keana,Keana,0.5289590485301446
Keffi,Oke-Ero,3.5250744032478036
Kokona,Oke-Ero,3.5250744032478036
Lafia,Alkaleri,1.6810244793379772
Nasarawa2,Keana,0.5289590485301446
Nasarawa-Eggon,Alkaleri,1.6810244793379772
Obi2,Keana,0.5289590485301446
Toto,Keana,0.5289590485301446
Wamba,Alkaleri,1.6810244793379772
Agaie,Oke-Ero,3.5250744032478036
Agwara,Birnin Kebbi,14.114749645607073
Bida,Oke-Ero,3.5250744032478036
Borgu,Oke-Ero,3.5250744032478036
Bosso,Keana,0.5289590485301446
Chanchaga,Keana,0.5289590485301446
Edati,Oke-Ero,3.5250744032478036
Gbako,Oke-Ero,3.5250744032478036
Gurara,Oke-Ero,3.5250744032478036
Katcha,Oke-Ero,3.5250744032478036
Kontagora,Oke-Ero,3.5250744032478036
Lapai,Oke-Ero,3.5250744032478036
Lavun,Oke-Ero,3.5250744032478036
Magama,Oke-Ero,3.5250744032478036
Mariga,Oke-Ero,3.5250744032478036
Mashegu,Oke-Ero,3.5250744032478036
Mokwa,Oke-Ero,3.5250744032478036
Muya,Giwa,12.681704377359994
Pailoro,Oke-Ero,3.5250744032478036
Rafi,Oke-Ero,3.5250744032478036
Rijau,Alkaleri,1.6810244793379772
Shiroro,Oke-Ero,3.5250744032478036
Suleja,Giwa,12.681704377359994
Tafa,Oke-Ero,3.5250744032478036
Wushishi,Oke-Ero,3.5250744032478036
Abeokuta North,Owan East,5.2151226229265895
Abeokuta South,Uzo-Uwani,0.14888028671038894
Ado-Odo-Ota,Uzo-Uwani,0.14888028671038894
Egbado North,Owan East,5.2151226229265895
Egbado South,Uzo-Uwani,0.14888028671038894
Ewekoro,Uzo-Uwani,0.14888028671038894
Ifo,Uzo-Uwani,0.14888028671038894
Ijebu East,Oke-Ero,3.5250744032478036
Ijebu North,Owan East,5.2151226229265895
Ijebu North East,Oke-Ero,3.5250744032478036
Ijebu ode,Owan East,5.2151226229265895
Ikenne,Owan East,5.2151226229265895
Imeko-Afon,Oke-Ero,3.5250744032478036
Ipokia,Uzo-Uwani,0.14888028671038894
Obafemi-Owode,Owan East,5.2151226229265895
Odeda,Oke-Ero,3.5250744032478036
Odogbolu,Owan East,5.2151226229265895
Ogun waterside,Owan East,5.2151226229265895
Remo North,Owan East,5.2151226229265895
Shagamu,Uzo-Uwani,0.14888028671038894
Akoko North East,Oke-Ero,3.5250744032478036
Akoko North West,Oke-Ero,3.5250744032478036
Akoko South East,Oke-Ero,3.5250744032478036
Akoko South West,Oke-Ero,3.5250744032478036
Akure North,Owan East,5.2151226229265895
Akure South,Owan East,5.2151226229265895
Ese-Odo,Owan East,5.2151226229265895
Idanre,Akinyele,3.7555898584922986
Ifedore,Oke-Ero,3.5250744032478036
Ilaje,Owan East,5.2151226229265895
Ile-Oluji-Okeigbo,Akinyele,3.7555898584922986
Irele,Akinyele,3.7555898584922986
Odigbo,Akinyele,3.7555898584922986
Okitipupa,Owan East,5.2151226229265895
Ondo East,Akinyele,3.7555898584922986
Ondo West,Akinyele,3.7555898584922986
Ose,Owan East,5.2151226229265895
Owo,Owan East,5.2151226229265895
Aiyedade,Akinyele,3.7555898584922986
Aiyedire,Akinyele,3.7555898584922986
Atakumosa East,Oke-Ero,3.5250744032478036
Atakumosa West,Akinyele,3.7555898584922986
Boluwaduro,Akinyele,3.7555898584922986
Boripe,Akinyele,3.7555898584922986
Ede North,Akinyele,3.7555898584922986
Ede South,Akinyele,3.7555898584922986
Egbedore,Akinyele,3.7555898584922986
Ejigbo,Akinyele,3.7555898584922986
Ife Central,Akinyele,3.7555898584922986
Ife East,Akinyele,3.7555898584922986
Ife North,Akinyele,3.7555898584922986
Ife South,Akinyele,3.7555898584922986
Ifedayo,Oke-Ero,3.5250744032478036
Ifelodun2,Akinyele,3.7555898584922986
Ila,Oke-Ero,3.5250744032478036
Ilesha East,Owan East,5.2151226229265895
Ilesha West,Akinyele,3.7555898584922986
Irepodun2,Akinyele,3.7555898584922986
Irewole,Akinyele,3.7555898584922986
Isokan,Akinyele,3.7555898584922986
Iwo,Akinyele,3.7555898584922986
Obokun,Akinyele,3.7555898584922986
Odo-Otin,Oke-Ero,3.5250744032478036
Ola-oluwa,Akinyele,3.7555898584922986
Olorunda,Akinyele,3.7555898584922986
Oriade,Oke-Ero,3.5250744032478036
Orolu,Oke-Ero,3.5250744032478036
Osogbo,Owan East,5.2151226229265895
Afijio,Akinyele,3.7555898584922986
Akinyele,Akinyele,3.7555898584922986
Atiba,Akinyele,3.7555898584922986
Atigbo,Oke-Ero,3.5250744032478036
Egbeda,Akinyele,3.7555898584922986
Ibadan North,Owan East,5.2151226229265895
Ibadan North East,Owan East,5.2151226229265895
Ibadan North West,Owan East,5.2151226229265895
Ibadan South East,Akinyele,3.7555898584922986
Ibadan South West,Owan East,5.2151226229265895
Ibarapa Central,Akinyele,3.7555898584922986
Ibarapa East,Oke-Ero,3.5250744032478036
