"year","State","scenario","indicator","count","trend","age"
2020,"Adamawa","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Adamawa","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Adamawa","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Adamawa","NGA projection scenario 1","PfPR_percent_change",10.45,"Prevalence","all_ages"
2025,"Adamawa","NGA projection scenario 1","U5_PfPR_percent_change",12.46,"Prevalence","U5"
2025,"Adamawa","NGA projection scenario 1","incidence_percent_change",17.99,"Incidence per 1000","all_ages"
2025,"Adamawa","NGA projection scenario 1","U5_incidence_percent_change",15.88,"Incidence per 1000","U5"
2025,"Adamawa","NGA projection scenario 1","death_percent_change",23.89,"Deaths per 1000","all_ages"
2025,"Adamawa","NGA projection scenario 1","U5_death_percent_change",20.81,"Deaths per 1000","U5"
2030,"Adamawa","NGA projection scenario 1","PfPR_percent_change",6.92,"Prevalence","all_ages"
2030,"Adamawa","NGA projection scenario 1","U5_PfPR_percent_change",4.27,"Prevalence","U5"
2030,"Adamawa","NGA projection scenario 1","incidence_percent_change",16.94,"Incidence per 1000","all_ages"
2030,"Adamawa","NGA projection scenario 1","U5_incidence_percent_change",10.25,"Incidence per 1000","U5"
2030,"Adamawa","NGA projection scenario 1","death_percent_change",13.24,"Deaths per 1000","all_ages"
2030,"Adamawa","NGA projection scenario 1","U5_death_percent_change",15.26,"Deaths per 1000","U5"
2020,"Akwa Ibom","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Akwa Ibom","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Akwa Ibom","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Akwa Ibom","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Akwa Ibom","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Akwa Ibom","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Akwa Ibom","NGA projection scenario 1","PfPR_percent_change",2.73,"Prevalence","all_ages"
2025,"Akwa Ibom","NGA projection scenario 1","U5_PfPR_percent_change",0.49,"Prevalence","U5"
2025,"Akwa Ibom","NGA projection scenario 1","incidence_percent_change",5.52,"Incidence per 1000","all_ages"
2025,"Akwa Ibom","NGA projection scenario 1","U5_incidence_percent_change",2.05,"Incidence per 1000","U5"
2025,"Akwa Ibom","NGA projection scenario 1","death_percent_change",-2.14,"Deaths per 1000","all_ages"
2025,"Akwa Ibom","NGA projection scenario 1","U5_death_percent_change",8.25,"Deaths per 1000","U5"
2030,"Akwa Ibom","NGA projection scenario 1","PfPR_percent_change",7.81,"Prevalence","all_ages"
2030,"Akwa Ibom","NGA projection scenario 1","U5_PfPR_percent_change",5.72,"Prevalence","U5"
2030,"Akwa Ibom","NGA projection scenario 1","incidence_percent_change",9.17,"Incidence per 1000","all_ages"
2030,"Akwa Ibom","NGA projection scenario 1","U5_incidence_percent_change",5.32,"Incidence per 1000","U5"
2030,"Akwa Ibom","NGA projection scenario 1","death_percent_change",-2.82,"Deaths per 1000","all_ages"
2030,"Akwa Ibom","NGA projection scenario 1","U5_death_percent_change",10.49,"Deaths per 1000","U5"
2020,"Anambra","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Anambra","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Anambra","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Anambra","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Anambra","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Anambra","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Anambra","NGA projection scenario 1","PfPR_percent_change",9.47,"Prevalence","all_ages"
2025,"Anambra","NGA projection scenario 1","U5_PfPR_percent_change",8.47,"Prevalence","U5"
2025,"Anambra","NGA projection scenario 1","incidence_percent_change",16.58,"Incidence per 1000","all_ages"
2025,"Anambra","NGA projection scenario 1","U5_incidence_percent_change",7.79,"Incidence per 1000","U5"
2025,"Anambra","NGA projection scenario 1","death_percent_change",12.75,"Deaths per 1000","all_ages"
2025,"Anambra","NGA projection scenario 1","U5_death_percent_change",3.88,"Deaths per 1000","U5"
2030,"Anambra","NGA projection scenario 1","PfPR_percent_change",22.19,"Prevalence","all_ages"
2030,"Anambra","NGA projection scenario 1","U5_PfPR_percent_change",13.48,"Prevalence","U5"
2030,"Anambra","NGA projection scenario 1","incidence_percent_change",37,"Incidence per 1000","all_ages"
2030,"Anambra","NGA projection scenario 1","U5_incidence_percent_change",17.32,"Incidence per 1000","U5"
2030,"Anambra","NGA projection scenario 1","death_percent_change",22.04,"Deaths per 1000","all_ages"
2030,"Anambra","NGA projection scenario 1","U5_death_percent_change",5.85,"Deaths per 1000","U5"
2020,"Bauchi","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Bauchi","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Bauchi","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Bauchi","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Bauchi","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Bauchi","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Bauchi","NGA projection scenario 1","PfPR_percent_change",-7.64,"Prevalence","all_ages"
2025,"Bauchi","NGA projection scenario 1","U5_PfPR_percent_change",-12.24,"Prevalence","U5"
2025,"Bauchi","NGA projection scenario 1","incidence_percent_change",-4.98,"Incidence per 1000","all_ages"
2025,"Bauchi","NGA projection scenario 1","U5_incidence_percent_change",-7.66,"Incidence per 1000","U5"
2025,"Bauchi","NGA projection scenario 1","death_percent_change",-14.66,"Deaths per 1000","all_ages"
2025,"Bauchi","NGA projection scenario 1","U5_death_percent_change",-11.42,"Deaths per 1000","U5"
2030,"Bauchi","NGA projection scenario 1","PfPR_percent_change",-1.22,"Prevalence","all_ages"
2030,"Bauchi","NGA projection scenario 1","U5_PfPR_percent_change",-4.78,"Prevalence","U5"
2030,"Bauchi","NGA projection scenario 1","incidence_percent_change",-4.26,"Incidence per 1000","all_ages"
2030,"Bauchi","NGA projection scenario 1","U5_incidence_percent_change",-7.41,"Incidence per 1000","U5"
2030,"Bauchi","NGA projection scenario 1","death_percent_change",-15.39,"Deaths per 1000","all_ages"
2030,"Bauchi","NGA projection scenario 1","U5_death_percent_change",-16.09,"Deaths per 1000","U5"
2020,"Bayelsa","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Bayelsa","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Bayelsa","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Bayelsa","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Bayelsa","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Bayelsa","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Bayelsa","NGA projection scenario 1","PfPR_percent_change",-11.24,"Prevalence","all_ages"
2025,"Bayelsa","NGA projection scenario 1","U5_PfPR_percent_change",3.39,"Prevalence","U5"
2025,"Bayelsa","NGA projection scenario 1","incidence_percent_change",-10.68,"Incidence per 1000","all_ages"
2025,"Bayelsa","NGA projection scenario 1","U5_incidence_percent_change",-1.87,"Incidence per 1000","U5"
2025,"Bayelsa","NGA projection scenario 1","death_percent_change",9.51,"Deaths per 1000","all_ages"
2025,"Bayelsa","NGA projection scenario 1","U5_death_percent_change",11.52,"Deaths per 1000","U5"
2030,"Bayelsa","NGA projection scenario 1","PfPR_percent_change",-3.27,"Prevalence","all_ages"
2030,"Bayelsa","NGA projection scenario 1","U5_PfPR_percent_change",0.71,"Prevalence","U5"
2030,"Bayelsa","NGA projection scenario 1","incidence_percent_change",4.57,"Incidence per 1000","all_ages"
2030,"Bayelsa","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2030,"Bayelsa","NGA projection scenario 1","death_percent_change",7.32,"Deaths per 1000","all_ages"
2030,"Bayelsa","NGA projection scenario 1","U5_death_percent_change",1.57,"Deaths per 1000","U5"
2020,"Benue","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Benue","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Benue","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Benue","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Benue","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Benue","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Benue","NGA projection scenario 1","PfPR_percent_change",6.76,"Prevalence","all_ages"
2025,"Benue","NGA projection scenario 1","U5_PfPR_percent_change",6.39,"Prevalence","U5"
2025,"Benue","NGA projection scenario 1","incidence_percent_change",8.92,"Incidence per 1000","all_ages"
2025,"Benue","NGA projection scenario 1","U5_incidence_percent_change",6.31,"Incidence per 1000","U5"
2025,"Benue","NGA projection scenario 1","death_percent_change",15.76,"Deaths per 1000","all_ages"
2025,"Benue","NGA projection scenario 1","U5_death_percent_change",19.07,"Deaths per 1000","U5"
2030,"Benue","NGA projection scenario 1","PfPR_percent_change",4.25,"Prevalence","all_ages"
2030,"Benue","NGA projection scenario 1","U5_PfPR_percent_change",1.35,"Prevalence","U5"
2030,"Benue","NGA projection scenario 1","incidence_percent_change",7.14,"Incidence per 1000","all_ages"
2030,"Benue","NGA projection scenario 1","U5_incidence_percent_change",2.75,"Incidence per 1000","U5"
2030,"Benue","NGA projection scenario 1","death_percent_change",12.33,"Deaths per 1000","all_ages"
2030,"Benue","NGA projection scenario 1","U5_death_percent_change",14.63,"Deaths per 1000","U5"
2020,"Borno","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Borno","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Borno","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Borno","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Borno","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Borno","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Borno","NGA projection scenario 1","PfPR_percent_change",9.48,"Prevalence","all_ages"
2025,"Borno","NGA projection scenario 1","U5_PfPR_percent_change",11.34,"Prevalence","U5"
2025,"Borno","NGA projection scenario 1","incidence_percent_change",15.23,"Incidence per 1000","all_ages"
2025,"Borno","NGA projection scenario 1","U5_incidence_percent_change",14.38,"Incidence per 1000","U5"
2025,"Borno","NGA projection scenario 1","death_percent_change",22.32,"Deaths per 1000","all_ages"
2025,"Borno","NGA projection scenario 1","U5_death_percent_change",22.25,"Deaths per 1000","U5"
2030,"Borno","NGA projection scenario 1","PfPR_percent_change",3.49,"Prevalence","all_ages"
2030,"Borno","NGA projection scenario 1","U5_PfPR_percent_change",0.92,"Prevalence","U5"
2030,"Borno","NGA projection scenario 1","incidence_percent_change",11.35,"Incidence per 1000","all_ages"
2030,"Borno","NGA projection scenario 1","U5_incidence_percent_change",7.01,"Incidence per 1000","U5"
2030,"Borno","NGA projection scenario 1","death_percent_change",0.23,"Deaths per 1000","all_ages"
2030,"Borno","NGA projection scenario 1","U5_death_percent_change",-10.48,"Deaths per 1000","U5"
2020,"Cross River","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Cross River","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Cross River","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Cross River","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Cross River","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Cross River","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Cross River","NGA projection scenario 1","PfPR_percent_change",0.97,"Prevalence","all_ages"
2025,"Cross River","NGA projection scenario 1","U5_PfPR_percent_change",0.04,"Prevalence","U5"
2025,"Cross River","NGA projection scenario 1","incidence_percent_change",2.52,"Incidence per 1000","all_ages"
2025,"Cross River","NGA projection scenario 1","U5_incidence_percent_change",-0.21,"Incidence per 1000","U5"
2025,"Cross River","NGA projection scenario 1","death_percent_change",-6.93,"Deaths per 1000","all_ages"
2025,"Cross River","NGA projection scenario 1","U5_death_percent_change",-7.54,"Deaths per 1000","U5"
2030,"Cross River","NGA projection scenario 1","PfPR_percent_change",4.71,"Prevalence","all_ages"
2030,"Cross River","NGA projection scenario 1","U5_PfPR_percent_change",5.17,"Prevalence","U5"
2030,"Cross River","NGA projection scenario 1","incidence_percent_change",3.5,"Incidence per 1000","all_ages"
2030,"Cross River","NGA projection scenario 1","U5_incidence_percent_change",0.89,"Incidence per 1000","U5"
2030,"Cross River","NGA projection scenario 1","death_percent_change",-6.7,"Deaths per 1000","all_ages"
2030,"Cross River","NGA projection scenario 1","U5_death_percent_change",-11.82,"Deaths per 1000","U5"
2020,"Delta","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Delta","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Delta","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Delta","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Delta","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Delta","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Delta","NGA projection scenario 1","PfPR_percent_change",17.6,"Prevalence","all_ages"
2025,"Delta","NGA projection scenario 1","U5_PfPR_percent_change",18.17,"Prevalence","U5"
2025,"Delta","NGA projection scenario 1","incidence_percent_change",15.18,"Incidence per 1000","all_ages"
2025,"Delta","NGA projection scenario 1","U5_incidence_percent_change",14.25,"Incidence per 1000","U5"
2025,"Delta","NGA projection scenario 1","death_percent_change",9.99,"Deaths per 1000","all_ages"
2025,"Delta","NGA projection scenario 1","U5_death_percent_change",23.23,"Deaths per 1000","U5"
2030,"Delta","NGA projection scenario 1","PfPR_percent_change",19.01,"Prevalence","all_ages"
2030,"Delta","NGA projection scenario 1","U5_PfPR_percent_change",21.9,"Prevalence","U5"
2030,"Delta","NGA projection scenario 1","incidence_percent_change",19.01,"Incidence per 1000","all_ages"
2030,"Delta","NGA projection scenario 1","U5_incidence_percent_change",21.28,"Incidence per 1000","U5"
2030,"Delta","NGA projection scenario 1","death_percent_change",10.62,"Deaths per 1000","all_ages"
2030,"Delta","NGA projection scenario 1","U5_death_percent_change",13.31,"Deaths per 1000","U5"
2020,"Ebonyi","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Ebonyi","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Ebonyi","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Ebonyi","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Ebonyi","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Ebonyi","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Ebonyi","NGA projection scenario 1","PfPR_percent_change",12.59,"Prevalence","all_ages"
2025,"Ebonyi","NGA projection scenario 1","U5_PfPR_percent_change",17.03,"Prevalence","U5"
2025,"Ebonyi","NGA projection scenario 1","incidence_percent_change",19.84,"Incidence per 1000","all_ages"
2025,"Ebonyi","NGA projection scenario 1","U5_incidence_percent_change",17.41,"Incidence per 1000","U5"
2025,"Ebonyi","NGA projection scenario 1","death_percent_change",48.53,"Deaths per 1000","all_ages"
2025,"Ebonyi","NGA projection scenario 1","U5_death_percent_change",66.11,"Deaths per 1000","U5"
2030,"Ebonyi","NGA projection scenario 1","PfPR_percent_change",11.57,"Prevalence","all_ages"
2030,"Ebonyi","NGA projection scenario 1","U5_PfPR_percent_change",11.82,"Prevalence","U5"
2030,"Ebonyi","NGA projection scenario 1","incidence_percent_change",18.85,"Incidence per 1000","all_ages"
2030,"Ebonyi","NGA projection scenario 1","U5_incidence_percent_change",13.89,"Incidence per 1000","U5"
2030,"Ebonyi","NGA projection scenario 1","death_percent_change",47.76,"Deaths per 1000","all_ages"
2030,"Ebonyi","NGA projection scenario 1","U5_death_percent_change",62.43,"Deaths per 1000","U5"
2020,"Edo","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Edo","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Edo","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Edo","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Edo","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Edo","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Edo","NGA projection scenario 1","PfPR_percent_change",13.27,"Prevalence","all_ages"
2025,"Edo","NGA projection scenario 1","U5_PfPR_percent_change",12.37,"Prevalence","U5"
2025,"Edo","NGA projection scenario 1","incidence_percent_change",16.47,"Incidence per 1000","all_ages"
2025,"Edo","NGA projection scenario 1","U5_incidence_percent_change",11.97,"Incidence per 1000","U5"
2025,"Edo","NGA projection scenario 1","death_percent_change",4.67,"Deaths per 1000","all_ages"
2025,"Edo","NGA projection scenario 1","U5_death_percent_change",23.45,"Deaths per 1000","U5"
2030,"Edo","NGA projection scenario 1","PfPR_percent_change",9.63,"Prevalence","all_ages"
2030,"Edo","NGA projection scenario 1","U5_PfPR_percent_change",6,"Prevalence","U5"
2030,"Edo","NGA projection scenario 1","incidence_percent_change",11.98,"Incidence per 1000","all_ages"
2030,"Edo","NGA projection scenario 1","U5_incidence_percent_change",6.49,"Incidence per 1000","U5"
2030,"Edo","NGA projection scenario 1","death_percent_change",-5.29,"Deaths per 1000","all_ages"
2030,"Edo","NGA projection scenario 1","U5_death_percent_change",0.95,"Deaths per 1000","U5"
2020,"Ekiti","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Ekiti","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Ekiti","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Ekiti","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Ekiti","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Ekiti","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Ekiti","NGA projection scenario 1","PfPR_percent_change",4.22,"Prevalence","all_ages"
2025,"Ekiti","NGA projection scenario 1","U5_PfPR_percent_change",4.96,"Prevalence","U5"
2025,"Ekiti","NGA projection scenario 1","incidence_percent_change",6.31,"Incidence per 1000","all_ages"
2025,"Ekiti","NGA projection scenario 1","U5_incidence_percent_change",4.77,"Incidence per 1000","U5"
2025,"Ekiti","NGA projection scenario 1","death_percent_change",8.06,"Deaths per 1000","all_ages"
2025,"Ekiti","NGA projection scenario 1","U5_death_percent_change",8.45,"Deaths per 1000","U5"
2030,"Ekiti","NGA projection scenario 1","PfPR_percent_change",4.66,"Prevalence","all_ages"
2030,"Ekiti","NGA projection scenario 1","U5_PfPR_percent_change",4.6,"Prevalence","U5"
2030,"Ekiti","NGA projection scenario 1","incidence_percent_change",4.92,"Incidence per 1000","all_ages"
2030,"Ekiti","NGA projection scenario 1","U5_incidence_percent_change",4.57,"Incidence per 1000","U5"
2030,"Ekiti","NGA projection scenario 1","death_percent_change",18.27,"Deaths per 1000","all_ages"
2030,"Ekiti","NGA projection scenario 1","U5_death_percent_change",30.26,"Deaths per 1000","U5"
2020,"Enugu","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Enugu","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Enugu","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Enugu","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Enugu","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Enugu","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Enugu","NGA projection scenario 1","PfPR_percent_change",15.51,"Prevalence","all_ages"
2025,"Enugu","NGA projection scenario 1","U5_PfPR_percent_change",18.59,"Prevalence","U5"
2025,"Enugu","NGA projection scenario 1","incidence_percent_change",20.59,"Incidence per 1000","all_ages"
2025,"Enugu","NGA projection scenario 1","U5_incidence_percent_change",18.26,"Incidence per 1000","U5"
2025,"Enugu","NGA projection scenario 1","death_percent_change",24.52,"Deaths per 1000","all_ages"
2025,"Enugu","NGA projection scenario 1","U5_death_percent_change",14.94,"Deaths per 1000","U5"
2030,"Enugu","NGA projection scenario 1","PfPR_percent_change",19.35,"Prevalence","all_ages"
2030,"Enugu","NGA projection scenario 1","U5_PfPR_percent_change",19.26,"Prevalence","U5"
2030,"Enugu","NGA projection scenario 1","incidence_percent_change",26.72,"Incidence per 1000","all_ages"
2030,"Enugu","NGA projection scenario 1","U5_incidence_percent_change",20.59,"Incidence per 1000","U5"
2030,"Enugu","NGA projection scenario 1","death_percent_change",35.19,"Deaths per 1000","all_ages"
2030,"Enugu","NGA projection scenario 1","U5_death_percent_change",34.47,"Deaths per 1000","U5"
2020,"Federal Capital Territory","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Federal Capital Territory","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Federal Capital Territory","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Federal Capital Territory","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Federal Capital Territory","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Federal Capital Territory","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Federal Capital Territory","NGA projection scenario 1","PfPR_percent_change",5.34,"Prevalence","all_ages"
2025,"Federal Capital Territory","NGA projection scenario 1","U5_PfPR_percent_change",6.98,"Prevalence","U5"
2025,"Federal Capital Territory","NGA projection scenario 1","incidence_percent_change",4.6,"Incidence per 1000","all_ages"
2025,"Federal Capital Territory","NGA projection scenario 1","U5_incidence_percent_change",5.06,"Incidence per 1000","U5"
2025,"Federal Capital Territory","NGA projection scenario 1","death_percent_change",6.11,"Deaths per 1000","all_ages"
2025,"Federal Capital Territory","NGA projection scenario 1","U5_death_percent_change",16.28,"Deaths per 1000","U5"
2030,"Federal Capital Territory","NGA projection scenario 1","PfPR_percent_change",1.77,"Prevalence","all_ages"
2030,"Federal Capital Territory","NGA projection scenario 1","U5_PfPR_percent_change",-0.57,"Prevalence","U5"
2030,"Federal Capital Territory","NGA projection scenario 1","incidence_percent_change",0.17,"Incidence per 1000","all_ages"
2030,"Federal Capital Territory","NGA projection scenario 1","U5_incidence_percent_change",-0.75,"Incidence per 1000","U5"
2030,"Federal Capital Territory","NGA projection scenario 1","death_percent_change",3.42,"Deaths per 1000","all_ages"
2030,"Federal Capital Territory","NGA projection scenario 1","U5_death_percent_change",5.42,"Deaths per 1000","U5"
2020,"Gombe","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Gombe","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Gombe","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Gombe","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Gombe","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Gombe","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Gombe","NGA projection scenario 1","PfPR_percent_change",-5.55,"Prevalence","all_ages"
2025,"Gombe","NGA projection scenario 1","U5_PfPR_percent_change",-9.25,"Prevalence","U5"
2025,"Gombe","NGA projection scenario 1","incidence_percent_change",-2.73,"Incidence per 1000","all_ages"
2025,"Gombe","NGA projection scenario 1","U5_incidence_percent_change",-5.13,"Incidence per 1000","U5"
2025,"Gombe","NGA projection scenario 1","death_percent_change",-19.85,"Deaths per 1000","all_ages"
2025,"Gombe","NGA projection scenario 1","U5_death_percent_change",-22.81,"Deaths per 1000","U5"
2030,"Gombe","NGA projection scenario 1","PfPR_percent_change",-1.15,"Prevalence","all_ages"
2030,"Gombe","NGA projection scenario 1","U5_PfPR_percent_change",-5.19,"Prevalence","U5"
2030,"Gombe","NGA projection scenario 1","incidence_percent_change",-3.85,"Incidence per 1000","all_ages"
2030,"Gombe","NGA projection scenario 1","U5_incidence_percent_change",-7.38,"Incidence per 1000","U5"
2030,"Gombe","NGA projection scenario 1","death_percent_change",-24.62,"Deaths per 1000","all_ages"
2030,"Gombe","NGA projection scenario 1","U5_death_percent_change",-25.65,"Deaths per 1000","U5"
2020,"Imo","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
