,DS,2010,kill_rate_10
264,Ehime-Mbano,0.736192627,0.683515836
265,Ezinihitte,0.72064873,0.676076305
266,Ideato North,0.747443742,0.688714812
267,Ideato South,0.747611359,0.688791095
268,Ihitte/Uboma,0.721281305,0.676384925
269,Ikeduru,0.736448415,0.683635759
270,Isiala Mbano,0.751562645,0.690579418
271,Isu,0.741418421,0.685949902
272,Mbaitoli,0.680519484,0.655469812
273,Obowo,0.718957553,0.675248761
274,Ngor-Okpala,0.634836777,0.629528737
275,Njaba,0.698775482,0.665096273
276,Nkwerre,0.748539507,0.689212875
277,Nwangele,0.746338308,0.688210872
278,Oyo East,0.42326207,0.478579172
279,Oguta,0.432749817,0.486182213
280,Ohaji/Egbema,0.426411316,0.481108219
281,Okigwe,0.687523046,0.65921275
282,Orlu,0.75396807,0.69165881
283,Orsu,0.7153534,0.673473214
284,Oru East,0.570658021,0.58869867
285,Oru West,0.48189407,0.524636763
286,Owerri-Municipal,0.557162613,0.579491334
287,Tofa,0.78682214,0.705708717
288,Owerri North,0.644676232,0.635339287
289,Owerri West,0.47959729,0.522879615
290,Unuimo,0.703828633,0.667686322
291,Auyo,0.795067408,0.70903588
292,Babura,0.81800777,0.71788591
293,Biriniwa,0.849911024,0.729232968
294,Malam Madori,0.832407763,0.723142897
295,Birni Kudu,0.809906746,0.714828208
296,Buji,0.837252023,0.724860935
297,Jahun,0.826293698,0.720938443
298,Dutse,0.782873367,0.704087406
299,Gagarawa,0.842477154,0.726686008
300,Kafin Hausa,0.837861447,0.725075293
301,Garki,0.806855385,0.713657486
302,Gumel,0.845740175,0.727811103
303,Guri,0.816695673,0.717395609
304,Gwaram,0.830878899,0.722595448
305,Gwiwa,0.796973181,0.709793779
306,Hadejia,0.824829638,0.720404549
307,Kaugama,0.82929437,0.722025404
308,Kazaure,0.813662556,0.7162549
309,Kiri Kasamma,0.809593887,0.714708653
310,Tsanyawa,0.798011067,0.710204785
311,Miga,0.839277402,0.725571814
312,Ringim,0.797357054,0.709945938
313,Roni,0.790842728,0.707340919
314,Taura,0.835883659,0.724378185
315,Yankwashi,0.804635469,0.712799185
316,kiyawa,0.764485956,0.696296503
317,Dutsi,0.781469691,0.703506696
318,Birnin-Gwari,0.585336478,0.598474764
319,Kajuru,0.608487466,0.613372501
320,Chikun,0.610430948,0.614593521
321,Giwa,0.690444801,0.660755846
322,Koko/Besse,0.461923759,0.509218302
323,Igabi,0.621671193,0.621564016
324,Ikara,0.810398022,0.715015721
325,Jaba,0.593595904,0.603863844
326,Ogori/Mangongo,0.552565604,0.576308212
327,Jema'a,0.643297947,0.634532708
328,Kachia,0.585831891,0.5988003
329,Kaduna North,0.619522313,0.620243504
330,Kudan,0.779081497,0.702513388
331,Kagarko,0.628440257,0.625686121
332,Kaura,0.688938782,0.659961808
333,Kauru,0.586972837,0.599548909
334,Kubau,0.748940255,0.689394663
335,Lere,0.645529076,0.635837174
336,Markafi,0.792000179,0.707807337
337,Sabon-Gari,0.753146937,0.691291129
338,Sanga,0.532813438,0.562369465
339,Soba,0.7559987,0.692564567
340,Zango-Kataf,0.561549145,0.582506713
341,Zaria,0.700548728,0.66600884
342,Kaduna South,0.70538791,0.668479046
343,Bichi,0.787571799,0.706014469
344,Ajingi,0.76423705,0.696188287
345,Albasu,0.804275859,0.712659623
346,Bagwai,0.789533394,0.706811434
347,Bebeji,0.834699363,0.723958756
348,Dambatta,0.789695266,0.706877001
349,Dawakin Kudu,0.80293017,0.712136075
350,Dawakin Tofa,0.794390454,0.708765663
351,Doguwa,0.773929702,0.700347809
352,Gabasawa,0.792787124,0.70812357
353,Garko,0.780447188,0.70308223
354,Garum Mallam,0.853099876,0.73030785
355,Gaya,0.799364116,0.71073875
356,Gezawa,0.808477167,0.714281019
357,Gwale,0.762262136,0.69532703
358,Gwarzo,0.838398486,0.725263863
359,Kabo,0.823227922,0.719817779
360,Kano Municipal,0.768774673,0.698149479
361,Karaye,0.852595031,0.730138381
362,Kibiya,0.841576084,0.72637334
363,Kiru,0.846911108,0.728212116
364,Kumbotso,0.789001495,0.706595772
365,Yagba West,0.490619883,0.531272001
366,Kunchi,0.796645027,0.709663573
367,Kura,0.780242509,0.702997116
368,Madobi,0.84294978,0.726849664
369,Makoda,0.783560148,0.704370693
370,Ekiti,0.529174752,0.559756667
371,Minjibir,0.7852882,0.705081058
372,Nasarawa1,0.786086291,0.705407963
373,Rano,0.837929556,0.725099225
374,Rimin Gado,0.805428191,0.713106318
375,Bindawa,0.835457212,0.724227328
376,Rogo,0.81167434,0.715501612
377,Shanono,0.82532529,0.720585558
378,Sumaila,0.768250331,0.697924109
379,Takali,0.823455021,0.719901144
380,Tarauni,0.776373684,0.701379044
381,Tudun Wada,0.827438247,0.721354196
382,Ungogo,0.788990135,0.706591162
383,Warawa,0.818315843,0.718000754
384,Wudil,0.776935276,0.701615012
385,Daura,0.777262298,0.701752248
386,Bakori,0.757355321,0.693166908
387,Batagarawa,0.796201967,0.709487579
388,Batsari,0.81889638,0.718216884
389,Charanchi,0.823551641,0.719936596
390,Dan Musa,0.844269979,0.727305563
391,Dandume,0.696742935,0.664045377
392,Danja,0.75233525,0.690926875
393,Dutsin-Ma,0.787497466,0.705984181
394,Faskari,0.761404333,0.694951488
395,Funtua,0.721427798,0.676456325
396,Asa,0.37578475,0.439941425
397,Ingawa,0.812705806,0.71589296
398,Kafur,0.793094655,0.708246957
399,Kankara,0.819883408,0.718583494
400,Kankia,0.818804836,0.718182827
401,Katsina,0.80369659,0.712434506
402,Kurfi,0.81218807,0.715696675
403,Kusada,0.818691543,0.718140667
404,Malumfashi,0.818998502,0.718254864
405,Mani,0.799020895,0.7106035
406,Matazuu,0.838718926,0.725376233
407,Birnin Kebbi,0.726064243,0.678702288
408,Musawa,0.844055621,0.727231665
409,Rimi,0.808519537,0.71429727
410,Sabuwa,0.698992308,0.665208072
411,Safana,0.798036309,0.710214766
412,Sandamu,0.804702834,0.712825312
413,Aleiro,0.701430145,0.666460967
414,Argungu,0.72300956,0.677225563
415,Augie,0.737904205,0.684316752
416,Bunza,0.685809651,0.658302803
417,Fakai,0.611983565,0.61556564
418,Gwandu,0.74799644,0.688966215
419,Jega,0.682958543,0.65678039
420,Kalgo,0.70324282,0.667387708
421,Iseyin,0.359976311,0.426933435
422,Maiyama,0.629516079,0.626335989
423,Ngaski,0.356891307,0.42439077
424,Sakaba,0.651950382,0.639556391
425,Shanga,0.535494769,0.564286017
426,Suru,0.562649466,0.583259694
427,Wasagu/Danko,0.674931499,0.652438751
428,Yauri,0.440608166,0.492440867
429,Zuru,0.630047299,0.626656348
430,Adavi,0.515214054,0.54960731
431,Ajaokuta,0.511076797,0.546562553
432,Ankpa,0.645946896,0.636080761
433,Bassa1,0.642811494,0.634247461
434,Dekina,0.614670649,0.617241053
435,Edu,0.366897542,0.432633644
436,Ibaji,0.656236756,0.642010008
437,Idah,0.544761062,0.570850829
438,Igalamela-Odolu,0.600400471,0.60824214
439,Ijumu,0.471452556,0.516614048
440,Kabba/Bunu,0.534736239,0.563744601
441,Kogi,0.602556144,0.609617483
442,Lokoja,0.531361207,0.561328318
443,Mopa-Muro,0.510508693,0.546143176
444,Ofu,0.554278021,0.577496688
445,Okehi,0.516719379,0.550711005
446,Okene,0.476780523,0.520718755
447,Olamabolo,0.612340374,0.615788624
448,Omala,0.708991669,0.670299457
449,Yagba East,0.484259584,0.526441915
450,Ifelodun1,0.396826608,0.457166767
451,Ilorin East,0.336406941,0.40749385
452,Ilorin South,0.347346668,0.416519202
453,Ilorin West,0.353512967,0.421605309
454,Irepodun1,0.457906807,0.50608041
455,Itesiwaju,0.373574082,0.438125069
456,Isin,0.431223279,0.484962253
457,Kaiama,0.262407647,0.347000571
458,Moro,0.304654959,0.381356396
459,Offa,0.445070714,0.495978252
460,Oke-Ero,0.527521741,0.558565198
461,Kajola,0.356314106,0.423914934
462,Oyun,0.446690042,0.497258738
463,Pategi,0.466012731,0.512400335
464,Agege,0.364653945,0.430786593
465,Ajeromi-Ifelodun,0.41372183,0.470887349
466,Alimosho,0.407452732,0.465809886
467,Apapa,0.418469578,0.474720756
468,Epe,0.431145251,0.48489986
469,Ifako-Ijaye,0.320770442,0.394604122
470,Ikeja,0.369129131,0.434470009
471,Mushin,0.399538904,0.459376992
472,Kokona,0.622777618,0.62224169
473,Ojo,0.31887418,0.393042844
474,Oshodi-Isolo,0.433505833,0.486785905
475,Surulere1,0.405154705,0.463944464
476,Akwanga,0.51454217,0.549113975
477,Obi2,0.669497763,0.649453326
478,Awe,0.730008607,0.680591961
479,Doma,0.641664152,0.633573499
480,Karu,0.610442554,0.614600798
481,Keana,0.61532547,0.617647988
482,Keffi,0.56006171,0.581486647
483,Lafia,0.644822838,0.63542494
484,Nasarawa2,0.60045589,0.608277568
485,Nasarawa-Eggon,0.552440096,0.576220978
486,Chanchaga,0.513066918,0.548029221
487,Toto,0.627689132,0.625231533
488,Wamba,0.505997302,0.542801948
489,Agaie,0.617855692,0.619215401
490,Agwara,0.298212424,0.376076806
491,Bida,0.600788236,0.608489955
492,Bosso,0.5001752,0.538461811
493,Edati,0.539319041,0.567006442
494,Gbako,0.457521966,0.50577918
495,Gurara,0.657345811,0.642641065
496,Katcha,0.590574912,0.601902168
497,Kontagora,0.551539433,0.575594463
498,Lapai,0.578836733,0.594176927
499,Lavun,0.427304593,0.481824622
500,Magama,0.402257587,0.46158969
501,Mariga,0.591444533,0.602467976
502,Mashegu,0.403559169,0.462648025
503,Pailoro,0.645505512,0.63582343
504,Lagelu,0.405156857,0.463946212
505,Mokwa,0.393914016,0.454790434
506,Muya,0.687323169,0.659106791
507,Abeokuta South,0.321118375,0.394890649
508,Ijebu North,0.42139529,0.477077605
509,Rafi,0.540601628,0.567915349
510,Rijau,0.544529135,0.570687639
511,Ado-Odo/Ota,0.301524648,0.378789748
512,Ijebu North East,0.459402902,0.50725046
513,Shiroro,0.611439475,0.615225313
514,Suleja,0.600766969,0.608476368
515,Tafa,0.607774521,0.612923422
516,Wushishi,0.533649264,0.5629677
517,Abeokuta North,0.33878981,0.409459622
518,Egbado South,0.34368932,0.413501862
519,Ewekoro,0.396542354,0.456934978
520,Ifo,0.349060052,0.417932629
521,Ijebu East,0.517715443,0.551440091
522,Ijebu ode,0.449731621,0.49965925
523,Ikenne,0.328195751,0.400722249
524,Obafemi-Owode,0.335032235,0.40635987
525,Odeda,0.329037384,0.401416096
526,Odogbolu,0.372689434,0.437397931
527,Ogun waterside,0.471324029,0.516514753
528,Remo North,0.345553011,0.415039455
529,Shagamu,0.374687546,0.439040056
530,Akoko North East,0.569928176,0.58820604
531,Akoko North West,0.515195022,0.549593342
532,Akoko South East,0.550780028,0.575065515
533,Akoko South West,0.537349088,0.56560703
534,Akure North,0.52979864,0.560205628
535,Ifedayo,0.549828989,0.574402195
536,Akure South,0.49621802,0.535494169
537,Ese-Odo,0.263665943,0.34801293
538,Idanre,0.493445319,0.533406434
539,Ifedore,0.554215878,0.577453615
540,Ile-Oluji-Okeigbo,0.520259113,0.553297528
541,Irele,0.542400038,0.569186838
542,Odigbo,0.527478093,0.558533699
543,Ifelodun2,0.490711634,0.531341422
544,Okitipupa,0.480733672,0.523749546
545,Ondo East,0.516941172,0.550873434
546,Ondo West,0.502072885,0.5398799
547,Ose,0.579935803,0.59490716
548,Owo,0.514144736,0.548821949
549,Aiyedade,0.485984521,0.527755268
550,Aiyedire,0.486615134,0.528234782
551,Atakumosa East,0.526183413,0.557598503
552,Orolu,0.565658331,0.585311737
553,Atakumosa West,0.521241645,0.554013272
554,Boluwaduro,0.544453681,0.570634535
555,Boripe,0.49323895,0.533250773
556,Ede North,0.557336554,0.579611315
557,Ede South,0.519889593,0.553028096
558,Egbedore,0.55412471,0.577390417
559,Ejigbo,0.512290185,0.547457243
560,Ife Central,0.478210789,0.521816778
561,Ife East,0.486576865,0.528205692
562,Ife North,0.50121937,0.5392425
563,Ife South,0.521358613,0.554098415
564,Ila,0.524169005,0.556140032
565,Ilesha East,0.488886409,0.529959024
566,Ilesha West,0.498701498,0.537358283
567,Irepodun2,0.524470729,0.556358748
568,Irewole,0.492604415,0.532771919
569,Isokan,0.498299247,0.537056729
570,Iwo,0.484846339,0.526888948
571,Osogbo,0.562835991,0.583387202
572,Obokun,0.561811673,0.582686493
573,Odo-Otin,0.507033348,0.543570968
574,Ola-oluwa,0.487681476,0.529044849
575,Olorunda,0.495942116,0.535286731
576,Oriade,0.528974676,0.559612604
577,Ibadan South East,0.396084756,0.456561781
578,Afijio,0.454538244,0.50344017
579,Akinyele,0.390673279,0.452143044
580,Atiba,0.423306768,0.478615103
581,Egbeda,0.385578786,0.447974718
582,Ibadan North,0.406303346,0.464877145
583,Ibadan North East,0.399636269,0.459456284
584,Ibadan North West,0.425796211,0.48061466
585,Ibarapa Central,0.300659218,0.378080607
586,Ibarapa East,0.316172861,0.390819702
587,Ibarapa North,0.315555727,0.390311983
588,Ido,0.339040014,0.40966604
589,Irepo,0.237409186,0.327070963
590,Ogo Oluwa,0.443849464,0.495011435
591,Olorunsogo,0.345993103,0.415402533
592,Oluyole,0.354989044,0.42282246
593,Ona-Ara,0.397664948,0.457850205
594,Orelope,0.245226901,0.333263704
595,Ori Ire,0.38246827,0.445426041
596,Oyo West,0.452162226,0.50157314
597,Saki East,0.260220574,0.345242897
598,Saki West,0.306056741,0.382506565
599,Surulere2,0.488694363,0.529813404
600,Barikin Ladi,0.543614673,0.570043632
601,Bassa2,0.653108849,0.640221819
602,Bokkos,0.515725938,0.549982869
603,Jos East,0.640482978,0.63287793
604,Jos North,0.722044895,0.676756801
605,Jos South,0.657995554,0.643010046
606,Kanam,0.753520352,0.691458436
607,Kanke,0.786639744,0.705634227
608,Langtang North,0.66230602,0.645444349
609,Langtang South,0.751536778,0.690567772
610,Mangu,0.611426381,0.615217119
611,Mikang,0.634553323,0.629359542
612,Abua/Odual,0.326570901,0.399382907
613,Pankshin,0.715112495,0.673353955
614,Qua'an Pan,0.731164976,0.681142299
615,Riyom,0.687242098,0.6590638
616,Shendam,0.705448049,0.668509559
617,Wase,0.744430875,0.687337812
618,Ahoada East,0.306768295,0.383090578
619,Ahoada West,0.248099964,0.335549098
620,Andoni,0.411069612,0.468741375
621,Asari-Toru,0.419448262,0.47550962
622,Bonny,0.452170044,0.50157929
623,Eleme,0.565338701,0.585094239
624,Emohua,0.448809061,0.49893178
625,Etche,0.59313883,0.603567746
626,Gokana,0.638079536,0.631457167
627,Ikwerre,0.539085961,0.566841081
628,Khana,0.531586202,0.561489766
629,Obia/Akpor,0.501796153,0.539673312
630,Ogba/Egbema/Ndoni,0.432653838,0.486105548
631,Ogu/Bolo,0.656688559,0.642267274
632,Okrika,0.537167151,0.565477579
633,Omumma,0.661735343,0.645123418
634,Opobo/Nkoro,0.369053041,0.434407409
635,Oyigbo,0.643050154,0.634387444
636,Port-Harcourt,0.495086742,0.534643188
637,Tai,0.670651146,0.650090158
638,Binji,0.793398705,0.708368841
639,Bodinga,0.814643245,0.716624839
640,Dange-Shnsi,0.779672429,0.702759793
641,Akuku Toru,0.417486967,0.473928259
642,Goronyo,0.791886473,0.707761585
643,Gawabawa,0.809627525,0.714721512
644,Illela,0.812766916,0.715916109
645,Isa,0.822521085,0.719557945
646,Kebbe,0.664089459,0.646444636
647,Kware,0.817631245,0.717745406
648,Rabah,0.786024059,0.705382499
649,Shagari,0.750502012,0.690101247
650,Mubi South,0.820067387,0.71865171
651,Silame,0.763676855,0.695944461
652,Sokoto North,0.794293702,0.708727
653,Sokoto South,0.816505591,0.717324421
654,Tambuwal,0.739433431,0.685029289
655,Tureta,0.757094543,0.693051294
656,Wamako,0.795934403,0.709381188
657,Wurno,0.780573081,0.703134557
658,Yabo,0.762247693,0.695320714
659,Ardo-Kola,0.67999038,0.655184512
660,Gassol,0.672351037,0.651025659
661,Bali,0.760888102,0.694725058
662,Donga,0.736446468,0.683634847
663,Ibi,0.677599468,0.65389087
664,Jalingo,0.684007728,0.657341825
665,Yorro,0.763308226,0.69578381
666,Potiskum,0.830135173,0.722328226
667,Karin-Lamido,0.654713111,0.641140506
668,Lau,0.609545155,0.614037584
669,Wukari,0.687256351,0.659071359
670,Zing,0.821553105,0.719201226
671,Bade,0.846509196,0.728074634
672,Nguru,0.821770997,0.719281613
673,Bursari,0.8624894,0.733412045
674,Damaturu,0.854010386,0.730612828
675,Fika,0.835844231,0.724364245
676,Gujba,0.83603759,0.72443259
677,Fune,0.834808703,0.723997543
678,Gulani,0.802488266,0.711963702
679,Geidam,0.897557302,0.744229657
680,Nangere,0.836130746,0.724465503
681,Jakusko,0.837113122,0.724812023
682,Karasuwa,0.854257053,0.730695303
683,Tarmua,0.894395675,0.743303076
684,Anka,0.722861437,0.67715366
685,Bakura,0.736564736,0.683690268
686,Birnin Magaji,0.827298091,0.721303361
687,Bukkuyum,0.717342899,0.674455328
688,Bungudu,0.810426205,0.71502647
689,Gummi,0.710752167,0.671182822
690,Ipokia,0.310044077,0.385780697
691,Gusau,0.767441216,0.697575697
