"year","State","scenario","indicator","count","trend","age"
2025,"Abia","NGA projection scenario 1","PfPR_U5",0.22,"Prevalence","U5"
2025,"Abia","NGA projection scenario 1","incidence_all_ages",1357.78,"Incidence per 1000","all_ages"
2025,"Abia","NGA projection scenario 1","incidence_U5",2091.77,"Incidence per 1000","U5"
2025,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.71,"Deaths per 1000","all_ages"
2025,"Abia","NGA projection scenario 1","death_rate_mean_U5",2.68,"Deaths per 1000","U5"
2026,"Abia","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2026,"Abia","NGA projection scenario 1","PfPR_U5",0.21,"Prevalence","U5"
2026,"Abia","NGA projection scenario 1","incidence_all_ages",1323.01,"Incidence per 1000","all_ages"
2026,"Abia","NGA projection scenario 1","incidence_U5",2019.4,"Incidence per 1000","U5"
2026,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.83,"Deaths per 1000","all_ages"
2026,"Abia","NGA projection scenario 1","death_rate_mean_U5",3.18,"Deaths per 1000","U5"
2027,"Abia","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2027,"Abia","NGA projection scenario 1","PfPR_U5",0.21,"Prevalence","U5"
2027,"Abia","NGA projection scenario 1","incidence_all_ages",1353.04,"Incidence per 1000","all_ages"
2027,"Abia","NGA projection scenario 1","incidence_U5",2047.41,"Incidence per 1000","U5"
2027,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.67,"Deaths per 1000","all_ages"
2027,"Abia","NGA projection scenario 1","death_rate_mean_U5",2.64,"Deaths per 1000","U5"
2028,"Abia","NGA projection scenario 1","PfPR_all_ages",0.24,"Prevalence","all_ages"
2028,"Abia","NGA projection scenario 1","PfPR_U5",0.22,"Prevalence","U5"
2028,"Abia","NGA projection scenario 1","incidence_all_ages",1391.35,"Incidence per 1000","all_ages"
2028,"Abia","NGA projection scenario 1","incidence_U5",2145.6,"Incidence per 1000","U5"
2028,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.81,"Deaths per 1000","all_ages"
2028,"Abia","NGA projection scenario 1","death_rate_mean_U5",3.23,"Deaths per 1000","U5"
2029,"Abia","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2029,"Abia","NGA projection scenario 1","PfPR_U5",0.22,"Prevalence","U5"
2029,"Abia","NGA projection scenario 1","incidence_all_ages",1343.42,"Incidence per 1000","all_ages"
2029,"Abia","NGA projection scenario 1","incidence_U5",2063.23,"Incidence per 1000","U5"
2029,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.68,"Deaths per 1000","all_ages"
2029,"Abia","NGA projection scenario 1","death_rate_mean_U5",2.69,"Deaths per 1000","U5"
2030,"Abia","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2030,"Abia","NGA projection scenario 1","PfPR_U5",0.21,"Prevalence","U5"
2030,"Abia","NGA projection scenario 1","incidence_all_ages",1365.61,"Incidence per 1000","all_ages"
2030,"Abia","NGA projection scenario 1","incidence_U5",2084.74,"Incidence per 1000","U5"
2030,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.78,"Deaths per 1000","all_ages"
2030,"Abia","NGA projection scenario 1","death_rate_mean_U5",3,"Deaths per 1000","U5"
2020,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2020,"Adamawa","NGA projection scenario 1","PfPR_U5",0.26,"Prevalence","U5"
2020,"Adamawa","NGA projection scenario 1","incidence_all_ages",1114.81,"Incidence per 1000","all_ages"
2020,"Adamawa","NGA projection scenario 1","incidence_U5",2148.95,"Incidence per 1000","U5"
2020,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",0.89,"Deaths per 1000","all_ages"
2020,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.1,"Deaths per 1000","U5"
2021,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.22,"Prevalence","all_ages"
2021,"Adamawa","NGA projection scenario 1","PfPR_U5",0.25,"Prevalence","U5"
2021,"Adamawa","NGA projection scenario 1","incidence_all_ages",1135.31,"Incidence per 1000","all_ages"
2021,"Adamawa","NGA projection scenario 1","incidence_U5",2169.86,"Incidence per 1000","U5"
2021,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",0.94,"Deaths per 1000","all_ages"
2021,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.27,"Deaths per 1000","U5"
2022,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.24,"Prevalence","all_ages"
2022,"Adamawa","NGA projection scenario 1","PfPR_U5",0.28,"Prevalence","U5"
2022,"Adamawa","NGA projection scenario 1","incidence_all_ages",1232.38,"Incidence per 1000","all_ages"
2022,"Adamawa","NGA projection scenario 1","incidence_U5",2362.29,"Incidence per 1000","U5"
2022,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",1.01,"Deaths per 1000","all_ages"
2022,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.82,"Deaths per 1000","U5"
2023,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2023,"Adamawa","NGA projection scenario 1","PfPR_U5",0.27,"Prevalence","U5"
2023,"Adamawa","NGA projection scenario 1","incidence_all_ages",1164.61,"Incidence per 1000","all_ages"
2023,"Adamawa","NGA projection scenario 1","incidence_U5",2197.34,"Incidence per 1000","U5"
2023,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",0.9,"Deaths per 1000","all_ages"
2023,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.08,"Deaths per 1000","U5"
2024,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2024,"Adamawa","NGA projection scenario 1","PfPR_U5",0.26,"Prevalence","U5"
2024,"Adamawa","NGA projection scenario 1","incidence_all_ages",1215.61,"Incidence per 1000","all_ages"
2024,"Adamawa","NGA projection scenario 1","incidence_U5",2274.44,"Incidence per 1000","U5"
2024,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",0.92,"Deaths per 1000","all_ages"
2024,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.17,"Deaths per 1000","U5"
2025,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.25,"Prevalence","all_ages"
2025,"Adamawa","NGA projection scenario 1","PfPR_U5",0.29,"Prevalence","U5"
2025,"Adamawa","NGA projection scenario 1","incidence_all_ages",1315.31,"Incidence per 1000","all_ages"
2025,"Adamawa","NGA projection scenario 1","incidence_U5",2490.19,"Incidence per 1000","U5"
2025,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",1.11,"Deaths per 1000","all_ages"
2025,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.95,"Deaths per 1000","U5"
2026,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.24,"Prevalence","all_ages"
2026,"Adamawa","NGA projection scenario 1","PfPR_U5",0.27,"Prevalence","U5"
2026,"Adamawa","NGA projection scenario 1","incidence_all_ages",1214.65,"Incidence per 1000","all_ages"
2026,"Adamawa","NGA projection scenario 1","incidence_U5",2239.32,"Incidence per 1000","U5"
2026,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",0.95,"Deaths per 1000","all_ages"
2026,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.34,"Deaths per 1000","U5"
2027,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.24,"Prevalence","all_ages"
2027,"Adamawa","NGA projection scenario 1","PfPR_U5",0.26,"Prevalence","U5"
2027,"Adamawa","NGA projection scenario 1","incidence_all_ages",1251.07,"Incidence per 1000","all_ages"
2027,"Adamawa","NGA projection scenario 1","incidence_U5",2301.09,"Incidence per 1000","U5"
2027,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",0.96,"Deaths per 1000","all_ages"
2027,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.27,"Deaths per 1000","U5"
2028,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.26,"Prevalence","all_ages"
2028,"Adamawa","NGA projection scenario 1","PfPR_U5",0.29,"Prevalence","U5"
2028,"Adamawa","NGA projection scenario 1","incidence_all_ages",1361.35,"Incidence per 1000","all_ages"
2028,"Adamawa","NGA projection scenario 1","incidence_U5",2539.41,"Incidence per 1000","U5"
2028,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",1.15,"Deaths per 1000","all_ages"
2028,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",5.5,"Deaths per 1000","U5"
2029,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.25,"Prevalence","all_ages"
2029,"Adamawa","NGA projection scenario 1","PfPR_U5",0.28,"Prevalence","U5"
2029,"Adamawa","NGA projection scenario 1","incidence_all_ages",1251.84,"Incidence per 1000","all_ages"
2029,"Adamawa","NGA projection scenario 1","incidence_U5",2283.34,"Incidence per 1000","U5"
2029,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",0.97,"Deaths per 1000","all_ages"
2029,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.44,"Deaths per 1000","U5"
2030,"Adamawa","NGA projection scenario 1","PfPR_all_ages",0.24,"Prevalence","all_ages"
2030,"Adamawa","NGA projection scenario 1","PfPR_U5",0.27,"Prevalence","U5"
2030,"Adamawa","NGA projection scenario 1","incidence_all_ages",1303.66,"Incidence per 1000","all_ages"
2030,"Adamawa","NGA projection scenario 1","incidence_U5",2369.21,"Incidence per 1000","U5"
2030,"Adamawa","NGA projection scenario 1","death_rate_mean_all_ages",1.01,"Deaths per 1000","all_ages"
2030,"Adamawa","NGA projection scenario 1","death_rate_mean_U5",4.73,"Deaths per 1000","U5"
2020,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.22,"Prevalence","all_ages"
2020,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.2,"Prevalence","U5"
2020,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1244.35,"Incidence per 1000","all_ages"
2020,"Akwa Ibom","NGA projection scenario 1","incidence_U5",1909.06,"Incidence per 1000","U5"
2020,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.74,"Deaths per 1000","all_ages"
2020,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.73,"Deaths per 1000","U5"
2021,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.21,"Prevalence","all_ages"
2021,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.19,"Prevalence","U5"
2021,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1214.23,"Incidence per 1000","all_ages"
2021,"Akwa Ibom","NGA projection scenario 1","incidence_U5",1843.7,"Incidence per 1000","U5"
2021,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.7,"Deaths per 1000","all_ages"
2021,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.75,"Deaths per 1000","U5"
2022,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.21,"Prevalence","all_ages"
2022,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.19,"Prevalence","U5"
2022,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1241.46,"Incidence per 1000","all_ages"
2022,"Akwa Ibom","NGA projection scenario 1","incidence_U5",1866.87,"Incidence per 1000","U5"
2022,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.72,"Deaths per 1000","all_ages"
2022,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.76,"Deaths per 1000","U5"
2023,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2023,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.2,"Prevalence","U5"
2023,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1327.35,"Incidence per 1000","all_ages"
2023,"Akwa Ibom","NGA projection scenario 1","incidence_U5",2011.45,"Incidence per 1000","U5"
2023,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.74,"Deaths per 1000","all_ages"
2023,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.7,"Deaths per 1000","U5"
2024,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.22,"Prevalence","all_ages"
2024,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.2,"Prevalence","U5"
2024,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1293.86,"Incidence per 1000","all_ages"
2024,"Akwa Ibom","NGA projection scenario 1","incidence_U5",1940.1,"Incidence per 1000","U5"
2024,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.68,"Deaths per 1000","all_ages"
2024,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.62,"Deaths per 1000","U5"
2025,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.22,"Prevalence","all_ages"
2025,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.2,"Prevalence","U5"
2025,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1313.08,"Incidence per 1000","all_ages"
2025,"Akwa Ibom","NGA projection scenario 1","incidence_U5",1948.16,"Incidence per 1000","U5"
2025,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.73,"Deaths per 1000","all_ages"
2025,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.95,"Deaths per 1000","U5"
2026,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2026,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.21,"Prevalence","U5"
2026,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1376.16,"Incidence per 1000","all_ages"
2026,"Akwa Ibom","NGA projection scenario 1","incidence_U5",2042.09,"Incidence per 1000","U5"
2026,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.76,"Deaths per 1000","all_ages"
2026,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",3,"Deaths per 1000","U5"
2027,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2027,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.2,"Prevalence","U5"
2027,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1340.09,"Incidence per 1000","all_ages"
2027,"Akwa Ibom","NGA projection scenario 1","incidence_U5",1980.2,"Incidence per 1000","U5"
2027,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.71,"Deaths per 1000","all_ages"
2027,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.88,"Deaths per 1000","U5"
2028,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2028,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.2,"Prevalence","U5"
2028,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1342.94,"Incidence per 1000","all_ages"
2028,"Akwa Ibom","NGA projection scenario 1","incidence_U5",1957.68,"Incidence per 1000","U5"
2028,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.76,"Deaths per 1000","all_ages"
2028,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.98,"Deaths per 1000","U5"
2029,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.24,"Prevalence","all_ages"
2029,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.21,"Prevalence","U5"
2029,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1407.08,"Incidence per 1000","all_ages"
2029,"Akwa Ibom","NGA projection scenario 1","incidence_U5",2083.57,"Incidence per 1000","U5"
2029,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.78,"Deaths per 1000","all_ages"
2029,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",2.87,"Deaths per 1000","U5"
2030,"Akwa Ibom","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2030,"Akwa Ibom","NGA projection scenario 1","PfPR_U5",0.21,"Prevalence","U5"
2030,"Akwa Ibom","NGA projection scenario 1","incidence_all_ages",1358.4,"Incidence per 1000","all_ages"
2030,"Akwa Ibom","NGA projection scenario 1","incidence_U5",2010.54,"Incidence per 1000","U5"
2030,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_all_ages",0.72,"Deaths per 1000","all_ages"
2030,"Akwa Ibom","NGA projection scenario 1","death_rate_mean_U5",3.02,"Deaths per 1000","U5"
2020,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.13,"Prevalence","all_ages"
2020,"Anambra","NGA projection scenario 1","PfPR_U5",0.09,"Prevalence","U5"
2020,"Anambra","NGA projection scenario 1","incidence_all_ages",891.63,"Incidence per 1000","all_ages"
2020,"Anambra","NGA projection scenario 1","incidence_U5",1095.51,"Incidence per 1000","U5"
2020,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.43,"Deaths per 1000","all_ages"
2020,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.46,"Deaths per 1000","U5"
2021,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.12,"Prevalence","all_ages"
2021,"Anambra","NGA projection scenario 1","PfPR_U5",0.08,"Prevalence","U5"
2021,"Anambra","NGA projection scenario 1","incidence_all_ages",799.34,"Incidence per 1000","all_ages"
2021,"Anambra","NGA projection scenario 1","incidence_U5",985.57,"Incidence per 1000","U5"
2021,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.41,"Deaths per 1000","all_ages"
2021,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.32,"Deaths per 1000","U5"
2022,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.13,"Prevalence","all_ages"
2022,"Anambra","NGA projection scenario 1","PfPR_U5",0.09,"Prevalence","U5"
2022,"Anambra","NGA projection scenario 1","incidence_all_ages",867.91,"Incidence per 1000","all_ages"
2022,"Anambra","NGA projection scenario 1","incidence_U5",1055.4,"Incidence per 1000","U5"
2022,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.4,"Deaths per 1000","all_ages"
2022,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.32,"Deaths per 1000","U5"
2023,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.13,"Prevalence","all_ages"
2023,"Anambra","NGA projection scenario 1","PfPR_U5",0.09,"Prevalence","U5"
2023,"Anambra","NGA projection scenario 1","incidence_all_ages",910.55,"Incidence per 1000","all_ages"
2023,"Anambra","NGA projection scenario 1","incidence_U5",1074.53,"Incidence per 1000","U5"
2023,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.45,"Deaths per 1000","all_ages"
2023,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.41,"Deaths per 1000","U5"
2024,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.14,"Prevalence","all_ages"
2024,"Anambra","NGA projection scenario 1","PfPR_U5",0.09,"Prevalence","U5"
2024,"Anambra","NGA projection scenario 1","incidence_all_ages",937.25,"Incidence per 1000","all_ages"
2024,"Anambra","NGA projection scenario 1","incidence_U5",1073.07,"Incidence per 1000","U5"
2024,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.42,"Deaths per 1000","all_ages"
2024,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.14,"Deaths per 1000","U5"
2025,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.15,"Prevalence","all_ages"
2025,"Anambra","NGA projection scenario 1","PfPR_U5",0.1,"Prevalence","U5"
2025,"Anambra","NGA projection scenario 1","incidence_all_ages",1039.49,"Incidence per 1000","all_ages"
2025,"Anambra","NGA projection scenario 1","incidence_U5",1180.8,"Incidence per 1000","U5"
2025,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.48,"Deaths per 1000","all_ages"
2025,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.52,"Deaths per 1000","U5"
2026,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.15,"Prevalence","all_ages"
2026,"Anambra","NGA projection scenario 1","PfPR_U5",0.1,"Prevalence","U5"
2026,"Anambra","NGA projection scenario 1","incidence_all_ages",1081.5,"Incidence per 1000","all_ages"
2026,"Anambra","NGA projection scenario 1","incidence_U5",1209.6,"Incidence per 1000","U5"
2026,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.52,"Deaths per 1000","all_ages"
2026,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.46,"Deaths per 1000","U5"
2027,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.15,"Prevalence","all_ages"
2027,"Anambra","NGA projection scenario 1","PfPR_U5",0.1,"Prevalence","U5"
2027,"Anambra","NGA projection scenario 1","incidence_all_ages",1123.54,"Incidence per 1000","all_ages"
2027,"Anambra","NGA projection scenario 1","incidence_U5",1223.81,"Incidence per 1000","U5"
2027,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.57,"Deaths per 1000","all_ages"
2027,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.78,"Deaths per 1000","U5"
2028,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.17,"Prevalence","all_ages"
2028,"Anambra","NGA projection scenario 1","PfPR_U5",0.11,"Prevalence","U5"
2028,"Anambra","NGA projection scenario 1","incidence_all_ages",1226.39,"Incidence per 1000","all_ages"
2028,"Anambra","NGA projection scenario 1","incidence_U5",1331.03,"Incidence per 1000","U5"
2028,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.61,"Deaths per 1000","all_ages"
2028,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.88,"Deaths per 1000","U5"
2029,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.17,"Prevalence","all_ages"
2029,"Anambra","NGA projection scenario 1","PfPR_U5",0.11,"Prevalence","U5"
2029,"Anambra","NGA projection scenario 1","incidence_all_ages",1225.25,"Incidence per 1000","all_ages"
2029,"Anambra","NGA projection scenario 1","incidence_U5",1334.69,"Incidence per 1000","U5"
2029,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.54,"Deaths per 1000","all_ages"
2029,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.43,"Deaths per 1000","U5"
2030,"Anambra","NGA projection scenario 1","PfPR_all_ages",0.16,"Prevalence","all_ages"
2030,"Anambra","NGA projection scenario 1","PfPR_U5",0.11,"Prevalence","U5"
2030,"Anambra","NGA projection scenario 1","incidence_all_ages",1221.54,"Incidence per 1000","all_ages"
2030,"Anambra","NGA projection scenario 1","incidence_U5",1285.23,"Incidence per 1000","U5"
2030,"Anambra","NGA projection scenario 1","death_rate_mean_all_ages",0.52,"Deaths per 1000","all_ages"
2030,"Anambra","NGA projection scenario 1","death_rate_mean_U5",1.55,"Deaths per 1000","U5"
2020,"Bauchi","NGA projection scenario 1","PfPR_all_ages",0.26,"Prevalence","all_ages"
2020,"Bauchi","NGA projection scenario 1","PfPR_U5",0.31,"Prevalence","U5"
2020,"Bauchi","NGA projection scenario 1","incidence_all_ages",1256.89,"Incidence per 1000","all_ages"
2020,"Bauchi","NGA projection scenario 1","incidence_U5",2422.41,"Incidence per 1000","U5"
2020,"Bauchi","NGA projection scenario 1","death_rate_mean_all_ages",1.33,"Deaths per 1000","all_ages"
2020,"Bauchi","NGA projection scenario 1","death_rate_mean_U5",6.3,"Deaths per 1000","U5"
2021,"Bauchi","NGA projection scenario 1","PfPR_all_ages",0.25,"Prevalence","all_ages"
2021,"Bauchi","NGA projection scenario 1","PfPR_U5",0.29,"Prevalence","U5"
2021,"Bauchi","NGA projection scenario 1","incidence_all_ages",1157.04,"Incidence per 1000","all_ages"
2021,"Bauchi","NGA projection scenario 1","incidence_U5",2194.55,"Incidence per 1000","U5"
2021,"Bauchi","NGA projection scenario 1","death_rate_mean_all_ages",1.02,"Deaths per 1000","all_ages"
2021,"Bauchi","NGA projection scenario 1","death_rate_mean_U5",4.63,"Deaths per 1000","U5"
2022,"Bauchi","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2022,"Bauchi","NGA projection scenario 1","PfPR_U5",0.27,"Prevalence","U5"
2022,"Bauchi","NGA projection scenario 1","incidence_all_ages",1166.1,"Incidence per 1000","all_ages"
2022,"Bauchi","NGA projection scenario 1","incidence_U5",2190.44,"Incidence per 1000","U5"
2022,"Bauchi","NGA projection scenario 1","death_rate_mean_all_ages",1.05,"Deaths per 1000","all_ages"
2022,"Bauchi","NGA projection scenario 1","death_rate_mean_U5",4.52,"Deaths per 1000","U5"
2023,"Bauchi","NGA projection scenario 1","PfPR_all_ages",0.26,"Prevalence","all_ages"
2023,"Bauchi","NGA projection scenario 1","PfPR_U5",0.31,"Prevalence","U5"
2023,"Bauchi","NGA projection scenario 1","incidence_all_ages",1270.31,"Incidence per 1000","all_ages"
