State,LGA
Borno,Biu
Borno,Chibok
Borno,Damboa
Cross River,Biase
Borno,Dikwa
Borno,Gubio
Borno,Jere
Borno,Guzamala
Borno,Hawul
Borno,Kwaya Kusar
Enugu,Enugu North
Borno,Kaga
Borno,Mafa
Cross River,Obudu
Borno,Konduga
Delta,Bomadi
Borno,Magumeri
Borno,Maiduguri
Borno,Shani
Cross River,Abi
Borno,Marte
Borno,Nganzai
Cross River,Bekwara
Cross River,Calabar-Municipal
Cross River,Ikom
Cross River,Obubra
Enugu,Enugu South
Cross River,Odukpani
Cross River,Ogoja
Cross River,Yakurr
Oyo,Ogbomosho North
Cross River,Yala
Delta,Aniocha North
Delta,Aniocha South
Oyo,Ibadan South West
Delta,Ethiope East
Delta,Ethiope West
Delta,Ika North East
Delta,Ika South
Delta,Isoko North
Oyo,Ogbomosho South
Delta,Isoko South
Delta,Ndokwa East
Delta,Ndokwa West
Delta,Okpe
Delta,Oshimili North
Delta,Oshimili South
Delta,Patani
Delta,Sapele
Delta,Udu
Delta,Ughelli North
Delta,Ughelli South
Delta,Ukwuani
Delta,Uvwie
Delta,Warri South
Ebonyi,Ohaozara
Ebonyi,Abakaliki
Ebonyi,Afikpo North
Ebonyi,Afikpo South
Ebonyi,Ebonyi
Ebonyi,Ezza North
Ebonyi,Ezza South
Ebonyi,Ikwo
Ebonyi,Ishielu
Ebonyi,Ivo
Ebonyi,Izzi
Ebonyi,Ohaukwu
Ebonyi,Onicha
Edo,Akoko-Edo
Edo,Egor
Edo,Esan North East
Edo,Esan Central
Edo,Esan South East
Edo,Esan West
Edo,Etsako Central
Edo,Etsako East
Edo,Etsako West
Edo,Igueben
Edo,Ikpoba-Okha
Enugu,Aninri
Edo,Oredo
Edo,Orhionmwon
Edo,Ovia North East
Edo,Ovia South West
Edo,Owan East
Edo,Owan West
Edo,Uhunmwonde
Ekiti,Ado Ekiti
Ekiti,Efon-Alayee
Ekiti,Ekiti East
Ekiti,Ekiti South West
Enugu,Awgu
Ekiti,Ekiti West
Ekiti,Emure
Ekiti,Gboyin
Ekiti,Idosi-Osi
Ekiti,Ijero
Ekiti,Ikere
Ekiti,Ikole
Ekiti,Ilemeji
Ekiti,Irepodun-Ifelodun
Ekiti,Ise-Orun
Ekiti,Moba
Ekiti,Oye
Enugu,Ezeagu
Enugu,Igbo-Etiti
Enugu,Igbo-Eze North
Enugu,Igbo-Eze South
Enugu,Isi-Uzo
Enugu,Nkanu East
Enugu,Nkanu West
Enugu,Nsukka
Enugu,Oji-River
Enugu,Udenu
Enugu,Udi
Enugu,Uzo-Uwani
Imo,Ahiazu-Mbaise
Federal Capital Territory,Abaji
Federal Capital Territory,Bwari
Federal Capital Territory,Gwagwalada
Federal Capital Territory,Kuje
Federal Capital Territory,Kwali
Kano,Bunkure
Federal Capital Territory,Abuja Municipal
Gombe,Akko
Gombe,Balanga
Gombe,Billiri
Gombe,Dukku
Gombe,Funakaye
Gombe,Gombe
Gombe,Kaltungo
Gombe,Kwami
Kano,Dala
Gombe,Nafada
Gombe,Shomgom
Gombe,Yamaltu-Deba
Imo,Aboh-Mbaise
Kano,Fagge
Imo,Ehime-Mbano
Imo,Ezinihitte
Imo,Ideato North
Imo,Ideato South
Imo,Ihitte-Uboma
Imo,Ikeduru
Imo,Isiala Mbano
Imo,Isu
Imo,Mbaitoli
Imo,Obowo
Imo,Ngor-Okpala
Imo,Njaba
Imo,Nkwerre
Imo,Nwangele
Oyo,Oyo East
Imo,Oguta
Imo,Ohaji-Egbema
Imo,Okigwe
Imo,Orlu
Imo,Orsu
Imo,Oru East
Imo,Oru West
Imo,Owerri-Municipal
Kano,Tofa
Imo,Owerri North
Imo,Owerri West
Imo,Unuimo
Jigawa,Auyo
Jigawa,Babura
Jigawa,Biriniwa
Jigawa,Malam Madori
Jigawa,Birni Kudu
Jigawa,Buji
Jigawa,Jahun
Jigawa,Dutse
Jigawa,Gagarawa
Jigawa,Kafin Hausa
Jigawa,Garki
Jigawa,Gumel
Jigawa,Guri
Jigawa,Gwaram
Jigawa,Gwiwa
Jigawa,Hadejia
Jigawa,Kaugama
Jigawa,Kazaure
Jigawa,Kiri Kasamma
Kano,Tsanyawa
Jigawa,Miga
Jigawa,Ringim
Jigawa,Roni
Jigawa,Taura
Jigawa,Yankwashi
Jigawa,Kiyawa
Katsina,Dutsi
Kaduna,Birnin-Gwari
Kaduna,Kajuru
Kaduna,Chikun
Kaduna,Giwa
Kebbi,Koko-Besse
Kaduna,Igabi
Kaduna,Ikara
Kaduna,Jaba
Kogi,Ogori-Mangongo
Kaduna,Jema'a
Kaduna,Kachia
Kaduna,Kaduna North
Kaduna,Kudan
Kaduna,Kagarko
Kaduna,Kaura
Kaduna,Kauru
Kaduna,Kubau
Kaduna,Lere
Kaduna,Markafi
Kaduna,Sabon-Gari
Kaduna,Sanga
Kaduna,Soba
Kaduna,Zango-Kataf
Kaduna,Zaria
Kaduna,Kaduna South
Kano,Bichi
Kano,Ajingi
Kano,Albasu
Kano,Bagwai
Kano,Bebeji
Kano,Dambatta
Kano,Dawakin Kudu
Kano,Dawakin Tofa
Kano,Doguwa
Kano,Gabasawa
Kano,Garko
Kano,Garum Mallam
Kano,Gaya
Kano,Gezawa
Kano,Gwale
Kano,Gwarzo
Kano,Kabo
Kano,Kano Municipal
Kano,Karaye
Kano,Kibiya
Kano,Kiru
Kano,Kumbotso
Kogi,Yagba West
Kano,Kunchi
Kano,Kura
Kano,Madobi
Kano,Makoda
Kwara,Ekiti
Kano,Minjibir
Kano,Nasarawa1
Kano,Rano
Kano,Rimin Gado
Katsina,Bindawa
Kano,Rogo
Kano,Shanono
Kano,Sumaila
Kano,Takali
Kano,Tarauni
Kano,Tudun Wada
Kano,Ungogo
Kano,Warawa
Kano,Wudil
Katsina,Daura
Katsina,Bakori
Katsina,Batagarawa
Katsina,Batsari
Katsina,Charanchi
Katsina,Dan Musa
Katsina,Dandume
Katsina,Danja
Katsina,Dutsin-Ma
Katsina,Faskari
Katsina,Funtua
Kwara,Asa
Katsina,Ingawa
Katsina,Kafur
Katsina,Kankara
Katsina,Kankia
Katsina,Katsina
Katsina,Kurfi
Katsina,Kusada
Katsina,Malumfashi
Katsina,Mani
Katsina,Matazuu
Kebbi,Birnin Kebbi
Katsina,Musawa
Katsina,Rimi
Katsina,Sabuwa
Katsina,Safana
Katsina,Sandamu
Kebbi,Aleiro
Kebbi,Argungu
Kebbi,Augie
Kebbi,Bunza
Kebbi,Fakai
Kebbi,Gwandu
Kebbi,Jega
Kebbi,Kalgo
Oyo,Iseyin
Kebbi,Maiyama
Kebbi,Ngaski
Kebbi,Sakaba
Kebbi,Shanga
Kebbi,Suru
Kebbi,Wasagu-Danko
Kebbi,Yauri
Kebbi,Zuru
Kogi,Adavi
Kogi,Ajaokuta
Kogi,Ankpa
Kogi,Bassa1
Kogi,Dekina
Kwara,Edu
Kogi,Ibaji
Kogi,Idah
Kogi,Igalamela-Odolu
Kogi,Ijumu
Kogi,Kabba-Bunu
Kogi,Kogi
Kogi,Lokoja
Kogi,Mopa-Muro
Kogi,Ofu
Kogi,Okehi
Kogi,Okene
Kogi,Olamabolo
Kogi,Omala
Kogi,Yagba East
Kwara,Ifelodun1
Kwara,Ilorin East
Kwara,Ilorin South
Kwara,Ilorin West
Kwara,Irepodun1
Oyo,Itesiwaju
Kwara,Isin
Kwara,Kaiama
Kwara,Moro
Kwara,Offa
Kwara,Oke-Ero
Oyo,Kajola
Kwara,Oyun
Kwara,Pategi
Lagos,Agege
Lagos,Ajeromi-Ifelodun
Lagos,Alimosho
Lagos,Apapa
Lagos,Epe
Lagos,Ifako-Ijaye
Lagos,Ikeja
Lagos,Mushin
Nasarawa,Kokona
Lagos,Ojo
Lagos,Oshodi-Isolo
Lagos,Surulere1
Nasarawa,Akwanga
Nasarawa,Obi2
Nasarawa,Awe
Nasarawa,Doma
Nasarawa,Karu
Nasarawa,Keana
Nasarawa,Keffi
Nasarawa,Lafia
Nasarawa,Nasarawa2
Nasarawa,Nasarawa-Eggon
Niger,Chanchaga
Nasarawa,Toto
Nasarawa,Wamba
Niger,Agaie
Niger,Agwara
Niger,Bida
Niger,Bosso
Niger,Edati
Niger,Gbako
Niger,Gurara
Niger,Katcha
Niger,Kontagora
Niger,Lapai
Niger,Lavun
Niger,Magama
Niger,Mariga
Niger,Mashegu
Niger,Pailoro
Oyo,Lagelu
Niger,Mokwa
Niger,Muya
Ogun,Abeokuta South
Ogun,Ijebu North
Niger,Rafi
Niger,Rijau
Ogun,Ado-Odo-Ota
Ogun,Ijebu North East
Niger,Shiroro
Niger,Suleja
Niger,Tafa
Niger,Wushishi
Ogun,Abeokuta North
Ogun,Egbado South
Ogun,Ewekoro
Ogun,Ifo
Ogun,Ijebu East
Ogun,Ijebu ode
Ogun,Ikenne
Ogun,Obafemi-Owode
Ogun,Odeda
Ogun,Odogbolu
Ogun,Ogun waterside
Ogun,Remo North
Ogun,Shagamu
Ondo,Akoko North East
Ondo,Akoko North West
Ondo,Akoko South East
Ondo,Akoko South West
Ondo,Akure North
Osun,Ifedayo
Ondo,Akure South
Ondo,Ese-Odo
Ondo,Idanre
Ondo,Ifedore
Ondo,Ile-Oluji-Okeigbo
Ondo,Irele
Ondo,Odigbo
Osun,Ifelodun2
Ondo,Okitipupa
Ondo,Ondo East
Ondo,Ondo West
Ondo,Ose
Ondo,Owo
Osun,Aiyedade
Osun,Aiyedire
Osun,Atakumosa East
Osun,Orolu
Osun,Atakumosa West
Osun,Boluwaduro
Osun,Boripe
Osun,Ede North
Osun,Ede South
Osun,Egbedore
Osun,Ejigbo
Osun,Ife Central
Osun,Ife East
Osun,Ife North
Osun,Ife South
Osun,Ila
Osun,Ilesha East
Osun,Ilesha West
Osun,Irepodun2
Osun,Irewole
Osun,Isokan
Osun,Iwo
Osun,Osogbo
Osun,Obokun
Osun,Odo-Otin
Osun,Ola-oluwa
Osun,Olorunda
Osun,Oriade
Oyo,Ibadan South East
Oyo,Afijio
Oyo,Akinyele
Oyo,Atiba
Oyo,Egbeda
Oyo,Ibadan North
Oyo,Ibadan North East
Oyo,Ibadan North West
Oyo,Ibarapa Central
Oyo,Ibarapa East
Oyo,Ibarapa North
Oyo,Ido
Oyo,Irepo
Oyo,Ogo Oluwa
Oyo,Olorunsogo
Oyo,Oluyole
Oyo,Ona-Ara
Oyo,Orelope
Oyo,Ori Ire
Oyo,Oyo West
Oyo,Saki East
Oyo,Saki West
Oyo,Surulere2
Plateau,Barikin Ladi
Plateau,Bassa2
Plateau,Bokkos
Plateau,Jos East
Plateau,Jos North
Plateau,Jos South
Plateau,Kanam
Plateau,Kanke
Plateau,Langtang North
Plateau,Langtang South
Plateau,Mangu
Plateau,Mikang
Rivers,Abua-Odual
Plateau,Pankshin
Plateau,Qua'an Pan
Plateau,Riyom
Plateau,Shendam
Plateau,Wase
Rivers,Ahoada East
Rivers,Ahoada West
Rivers,Andoni
Rivers,Asari-Toru
Rivers,Bonny
Rivers,Eleme
Rivers,Emohua
Rivers,Etche
Rivers,Gokana
Rivers,Ikwerre
Rivers,Khana
Rivers,Obia-Akpor
Rivers,Ogba-Egbema-Ndoni
Rivers,Ogu-Bolo
Rivers,Okrika
Rivers,Omumma
Rivers,Opobo-Nkoro
Rivers,Oyigbo
Rivers,Port-Harcourt
Rivers,Tai
Sokoto,Binji
Sokoto,Bodinga
Sokoto,Dange-Shnsi
Rivers,Akuku Toru
Sokoto,Goronyo
Sokoto,Gawabawa
Sokoto,Illela
Sokoto,Isa
Sokoto,Kebbe
Sokoto,Kware
Sokoto,Rabah
Sokoto,Shagari
Adamawa,Mubi South
Sokoto,Silame
Sokoto,Sokoto North
Sokoto,Sokoto South
Sokoto,Tambuwal
Sokoto,Tureta
Sokoto,Wamako
Sokoto,Wurno
Sokoto,Yabo
Taraba,Ardo-Kola
Taraba,Gassol
Taraba,Bali
Taraba,Donga
Taraba,Ibi
Taraba,Jalingo
Taraba,Yorro
Yobe,Potiskum
Taraba,Karin-Lamido
Taraba,Lau
Taraba,Wukari
Taraba,Zing
Yobe,Bade
Yobe,Nguru
Yobe,Bursari
Yobe,Damaturu
Yobe,Fika
Yobe,Gujba
Yobe,Fune
Yobe,Gulani
Yobe,Geidam
Yobe,Nangere
Yobe,Jakusko
Yobe,Karasuwa
Yobe,Tarmua
Zamfara,Anka
Zamfara,Bakura
Zamfara,Birnin Magaji
Zamfara,Bukkuyum
Zamfara,Bungudu
Zamfara,Gummi
Ogun,Ipokia
Zamfara,Gusau
Zamfara,Kaura-Namoda
Zamfara,Maradun
Zamfara,Tsafe
Zamfara,Maru
Zamfara,Shinkafi
Zamfara,Talata Mafara
Zamfara,Zurmi
Akwa Ibom,Mbo
Akwa Ibom,Oron
Akwa Ibom,Udung Uko
Cross River,Calabar South
Akwa Ibom,Ibeno
Akwa Ibom,Eastern Obolo
Rivers,Degema
Bayelsa,Brass
Bayelsa,Southern Ijaw
Bayelsa,Ekeremor
Delta,Burutu
Delta,Warri South West
Delta,Warri North
Ondo,Ilaje
Lagos,Ibeju-Lekki
Lagos,Amuwo-Odofin
Lagos,Badagry
Ogun,Egbado North
Ogun,Imeko-Afon
Oyo,Iwajowa
Oyo,Atigbo
Kwara,Baruten
Niger,Borgu
Kebbi,Bagudo
Kebbi,Dandi
Kebbi,Arewa-Dandi
Sokoto,Gudu
Sokoto,Tangaza
Sokoto,Gada
Sokoto,Sabon Birni
Katsina,Kaita
Katsina,Jibia
Katsina,Mashi
Katsina,Mai'Adua
Katsina,Zango
Katsina,Baure
Jigawa,Sule-Tankarkar
Jigawa,Maigatari
Taraba,Ussa
Yobe,Machina
Yobe,Yusufari
Lagos,Shomolu
Yobe,Yunusari
Borno,Monguno
Borno,Mobbar
Borno,Ngala
Borno,Abadam
Borno,Kukawa
Borno,Kala-Balge
Borno,Bama
Borno,Gwoza
Adamawa,Madagali
Adamawa,Michika
Adamawa,Mubi North
Adamawa,Maiha
Adamawa,Fufore
Adamawa,Jada
Adamawa,Ganaye
Adamawa,Toungo
Taraba,Kurmi
Taraba,Gashaka
Taraba,Sardauna
Taraba,Takum
Benue,Kwande
Cross River,Obanliku
Cross River,Boki
Cross River,Etung
Cross River,Akamkpa
Cross River,Bakassi
Cross River,Akpabuyo
Lagos,Eti-Osa
Lagos,Ikorodu
Lagos,Kosofe
Lagos,Lagos Island
Lagos,Lagos Mainland
