,LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round,min_increase,scale_values,scenario
31,Ahoada West,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
32,Ahoada West,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
33,Ahoada West,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
34,Akuku Toru,Ahoada West,0.47,0.47,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
35,Akuku Toru,Ahoada West,0.54,0.54,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
36,Akuku Toru,Ahoada West,0.61,0.61,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
37,Akuku Toru,Ahoada West,0.68,0.68,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
38,Akuku Toru,Ahoada West,0.75,0.75,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
39,Akuku Toru,Ahoada West,0.8,0.8,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
40,Akuku Toru,Ahoada West,0.8,0.8,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
41,Akuku Toru,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
42,Akuku Toru,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
43,Akuku Toru,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
44,Akuku Toru,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
45,Asari-Toru,Ahoada West,0.512896713,0.512896713,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
46,Asari-Toru,Ahoada West,0.582896713,0.582896713,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
47,Asari-Toru,Ahoada West,0.652896713,0.652896713,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
48,Asari-Toru,Ahoada West,0.722896713,0.722896713,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
49,Asari-Toru,Ahoada West,0.792896713,0.792896713,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
50,Asari-Toru,Ahoada West,0.8,0.8,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
51,Asari-Toru,Ahoada West,0.8,0.8,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
52,Asari-Toru,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
53,Asari-Toru,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
54,Asari-Toru,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
55,Asari-Toru,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
56,Brass,Ahoada West,0.584466613,0.584466613,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
57,Brass,Ahoada West,0.654466613,0.654466613,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
58,Brass,Ahoada West,0.724466613,0.724466613,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
59,Brass,Ahoada West,0.794466613,0.794466613,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
60,Brass,Ahoada West,0.8,0.8,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
61,Brass,Ahoada West,0.8,0.8,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
62,Brass,Ahoada West,0.8,0.8,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
63,Brass,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
64,Brass,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
65,Brass,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
66,Brass,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
67,Degema,Ahoada West,0.32,0.32,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
68,Degema,Ahoada West,0.39,0.39,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
69,Degema,Ahoada West,0.46,0.46,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
70,Degema,Ahoada West,0.53,0.53,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
71,Degema,Ahoada West,0.6,0.6,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
72,Degema,Ahoada West,0.67,0.67,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
73,Degema,Ahoada West,0.74,0.74,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
74,Degema,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
75,Degema,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
76,Degema,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
77,Degema,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
78,Ekeremor,Ahoada West,0.275928424,0.275928424,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
79,Ekeremor,Ahoada West,0.345928424,0.345928424,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
80,Ekeremor,Ahoada West,0.415928424,0.415928424,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
81,Ekeremor,Ahoada West,0.485928424,0.485928424,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
82,Ekeremor,Ahoada West,0.555928424,0.555928424,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
83,Ekeremor,Ahoada West,0.625928424,0.625928424,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
84,Ekeremor,Ahoada West,0.695928424,0.695928424,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
85,Ekeremor,Ahoada West,0.765928424,0.765928424,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
86,Ekeremor,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
87,Ekeremor,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
88,Ekeremor,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
89,Eleme,Ahoada West,0.221693513,0.221693513,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
90,Eleme,Ahoada West,0.291693513,0.291693513,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
91,Eleme,Ahoada West,0.361693513,0.361693513,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
92,Eleme,Ahoada West,0.431693513,0.431693513,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
93,Eleme,Ahoada West,0.501693513,0.501693513,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
94,Eleme,Ahoada West,0.571693513,0.571693513,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
95,Eleme,Ahoada West,0.641693513,0.641693513,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
96,Eleme,Ahoada West,0.711693513,0.711693513,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
97,Eleme,Ahoada West,0.781693513,0.781693513,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
98,Eleme,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
99,Eleme,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
100,Emohua,Ahoada West,0.236666667,0.236666667,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
101,Emohua,Ahoada West,0.306666667,0.306666667,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
102,Emohua,Ahoada West,0.376666667,0.376666667,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
103,Emohua,Ahoada West,0.446666667,0.446666667,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
104,Emohua,Ahoada West,0.516666667,0.516666667,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
105,Emohua,Ahoada West,0.586666667,0.586666667,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
106,Emohua,Ahoada West,0.656666667,0.656666667,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
107,Emohua,Ahoada West,0.726666667,0.726666667,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
108,Emohua,Ahoada West,0.796666667,0.796666667,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
109,Emohua,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
110,Emohua,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
111,Kolokuma-Opokuma,Ahoada West,0.459048955,0.459048955,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
112,Kolokuma-Opokuma,Ahoada West,0.529048955,0.529048955,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
113,Kolokuma-Opokuma,Ahoada West,0.599048955,0.599048955,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
114,Kolokuma-Opokuma,Ahoada West,0.669048955,0.669048955,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
115,Kolokuma-Opokuma,Ahoada West,0.739048955,0.739048955,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
116,Kolokuma-Opokuma,Ahoada West,0.8,0.8,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
117,Kolokuma-Opokuma,Ahoada West,0.8,0.8,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
118,Kolokuma-Opokuma,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
119,Kolokuma-Opokuma,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
120,Kolokuma-Opokuma,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
121,Kolokuma-Opokuma,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
122,Ndokwa East,Ahoada West,0.316461454,0.316461454,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
123,Ndokwa East,Ahoada West,0.386461454,0.386461454,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
124,Ndokwa East,Ahoada West,0.456461454,0.456461454,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
125,Ndokwa East,Ahoada West,0.526461454,0.526461454,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
126,Ndokwa East,Ahoada West,0.596461454,0.596461454,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
127,Ndokwa East,Ahoada West,0.666461454,0.666461454,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
128,Ndokwa East,Ahoada West,0.736461454,0.736461454,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
129,Ndokwa East,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
130,Ndokwa East,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
131,Ndokwa East,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
132,Ndokwa East,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
133,Nembe,Ahoada West,0.32,0.32,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
134,Nembe,Ahoada West,0.39,0.39,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
135,Nembe,Ahoada West,0.46,0.46,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
136,Nembe,Ahoada West,0.53,0.53,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
137,Nembe,Ahoada West,0.6,0.6,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
138,Nembe,Ahoada West,0.67,0.67,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
139,Nembe,Ahoada West,0.74,0.74,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
140,Nembe,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
141,Nembe,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
142,Nembe,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
143,Nembe,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
144,Obia-Akpor,Ahoada West,0.283483794,0.283483794,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
145,Obia-Akpor,Ahoada West,0.353483794,0.353483794,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
146,Obia-Akpor,Ahoada West,0.423483794,0.423483794,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
147,Obia-Akpor,Ahoada West,0.493483794,0.493483794,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
148,Obia-Akpor,Ahoada West,0.563483794,0.563483794,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
149,Obia-Akpor,Ahoada West,0.633483794,0.633483794,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
150,Obia-Akpor,Ahoada West,0.703483794,0.703483794,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
151,Obia-Akpor,Ahoada West,0.773483794,0.773483794,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
152,Obia-Akpor,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
153,Obia-Akpor,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
154,Obia-Akpor,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
155,Ogbadibo,Ahoada West,0.205679232,0.205679232,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
156,Ogbadibo,Ahoada West,0.275679232,0.275679232,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
157,Ogbadibo,Ahoada West,0.345679232,0.345679232,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
158,Ogbadibo,Ahoada West,0.415679232,0.415679232,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
159,Ogbadibo,Ahoada West,0.485679232,0.485679232,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
160,Ogbadibo,Ahoada West,0.555679232,0.555679232,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
161,Ogbadibo,Ahoada West,0.625679232,0.625679232,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
162,Ogbadibo,Ahoada West,0.695679232,0.695679232,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
163,Ogbadibo,Ahoada West,0.765679232,0.765679232,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
164,Ogbadibo,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
165,Ogbadibo,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
166,Ogbaru,Ahoada West,0.736666667,0.736666667,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
167,Ogbaru,Ahoada West,0.8,0.8,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
168,Ogbaru,Ahoada West,0.8,0.8,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
169,Ogbaru,Ahoada West,0.8,0.8,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
170,Ogbaru,Ahoada West,0.8,0.8,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
171,Ogbaru,Ahoada West,0.8,0.8,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
172,Ogbaru,Ahoada West,0.8,0.8,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
173,Ogbaru,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
174,Ogbaru,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
175,Ogbaru,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
176,Ogbaru,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
177,Ogbia,Ahoada West,0.316461454,0.316461454,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
178,Ogbia,Ahoada West,0.386461454,0.386461454,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
179,Ogbia,Ahoada West,0.456461454,0.456461454,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
180,Ogbia,Ahoada West,0.526461454,0.526461454,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
181,Ogbia,Ahoada West,0.596461454,0.596461454,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
182,Ogbia,Ahoada West,0.666461454,0.666461454,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
183,Ogbia,Ahoada West,0.736461454,0.736461454,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
184,Ogbia,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
185,Ogbia,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
186,Ogbia,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
187,Ogbia,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
188,Port-Harcourt,Ahoada West,0.376711988,0.376711988,0.56,0,365,2020,-1,1,0.07,0.07,Scenario 2 (National malaria strategic plan)
189,Port-Harcourt,Ahoada West,0.446711988,0.446711988,0.63,365,365,2021,-1,2,0.07,0.14,Scenario 2 (National malaria strategic plan)
190,Port-Harcourt,Ahoada West,0.516711988,0.516711988,0.7,730,365,2022,-1,3,0.07,0.21,Scenario 2 (National malaria strategic plan)
191,Port-Harcourt,Ahoada West,0.586711988,0.586711988,0.77,1095,365,2023,-1,4,0.07,0.28,Scenario 2 (National malaria strategic plan)
192,Port-Harcourt,Ahoada West,0.656711988,0.656711988,0.8,1460,365,2024,-1,5,0.07,0.35,Scenario 2 (National malaria strategic plan)
193,Port-Harcourt,Ahoada West,0.726711988,0.726711988,0.8,1825,365,2025,-1,6,0.07,0.42,Scenario 2 (National malaria strategic plan)
194,Port-Harcourt,Ahoada West,0.796711988,0.796711988,0.8,2190,365,2026,-1,7,0.07,0.49,Scenario 2 (National malaria strategic plan)
195,Port-Harcourt,Ahoada West,0.8,0.8,0.8,2555,365,2027,-1,8,0.07,0.56,Scenario 2 (National malaria strategic plan)
196,Port-Harcourt,Ahoada West,0.8,0.8,0.8,2920,365,2028,-1,9,0.07,0.63,Scenario 2 (National malaria strategic plan)
197,Port-Harcourt,Ahoada West,0.8,0.8,0.8,3285,365,2029,-1,10,0.07,0.7,Scenario 2 (National malaria strategic plan)
198,Port-Harcourt,Ahoada West,0.8,0.8,0.8,3650,-1,2030,-1,11,0.07,0.77,Scenario 2 (National malaria strategic plan)
